Fecha;Hora;name;stationId;Vel Viento;Lluvia;Temperatura 8M;Humedad;Rad Solar;Dir Viento;Temperatura;Presion Baro
2025-10-08;00:22;Usaquen;1;2.2;0.0;;;;157.0;13.3;
2025-10-08;00:22;Carvajal - Sevillana;3;;0.0;;;;;13.8;
2025-10-08;00:22;Tunal;4;0.8;0.0;;79.0;1.0;181.0;;564.0
2025-10-08;00:22;Centro de Alto Rendimiento;5;0.3;0.0;;87.0;0.0;319.0;8.5;566.0
2025-10-08;00:22;Las Ferias;6;0.7;0.0;;76.0;;324.0;12.4;565.0
2025-10-08;00:22;Guaymaral;8;0.7;0.0;10.8;83.0;0.0;305.0;10.6;565.0
2025-10-08;00:22;Kennedy;9;0.7;0.0;;77.4;0.0;201.0;;
2025-10-08;00:22;Suba;11;0.8;0.0;;;;28.0;10.5;
2025-10-08;00:22;Puente Aranda;13;0.7;0.0;;81.0;0.0;218.0;14.5;564.0
2025-10-08;00:22;MinAmbiente;17;-9999.0;0.0;;;;-9999.0;;
2025-10-08;00:22;San Cristobal;24;0.2;0.0;;81.0;0.0;106.0;11.2;
2025-10-08;00:22;Movil 7ma;26;0.3;0.0;;65.5;0.0;97.0;13.6;563.0
2025-10-08;00:22;Bolivia;27;0.6;0.0;;89.0;0.0;344.0;11.9;566.0
2025-10-08;00:22;Fontibon;30;0.7;0.0;;81.0;;344.0;12.4;565.0
2025-10-08;00:22;Usme;32;;0.0;;;0.0;;13.2;563.0
2025-10-08;00:22;Jazmin;34;0.4;0.0;;84.0;0.0;267.0;13.6;565.0
2025-10-08;00:22;Ciudad Bolivar;37;;0.0;;;0.0;;12.9;558.0
2025-10-08;00:22;Colina;38;0.5;0.0;;;0.0;332.0;12.2;565.0
2025-10-08;00:22;Movil Fontibon;39;;;;;0.0;;12.9;565.0
2025-10-08;01:34;Usaquen;1;1.0;0.0;;;;124.0;12.9;
2025-10-08;01:34;Carvajal - Sevillana;3;;0.0;;;;;14.1;
2025-10-08;01:34;Tunal;4;0.8;0.0;;80.0;1.0;187.0;;563.0
2025-10-08;01:34;Centro de Alto Rendimiento;5;0.2;0.0;;88.0;0.0;199.0;8.5;565.0
2025-10-08;01:34;Las Ferias;6;0.7;0.0;;77.0;;240.0;12.0;564.0
2025-10-08;01:34;Guaymaral;8;0.5;0.0;10.0;84.0;0.0;282.0;9.9;564.0
2025-10-08;01:34;Kennedy;9;0.6;0.0;;81.7;0.0;306.0;;
2025-10-08;01:34;Suba;11;0.6;0.0;;;;13.0;10.1;
2025-10-08;01:34;Puente Aranda;13;1.1;0.0;;86.0;0.0;255.0;13.8;564.0
2025-10-08;01:34;MinAmbiente;17;-9999.0;0.0;;;;-9999.0;;
2025-10-08;01:34;San Cristobal;24;0.2;0.0;;81.0;0.0;71.0;11.3;
2025-10-08;01:34;Movil 7ma;26;0.1;0.0;;67.3;0.0;162.0;13.1;562.0
2025-10-08;01:34;Bolivia;27;0.9;0.0;;92.0;0.0;323.0;11.2;565.0
2025-10-08;01:34;Fontibon;30;0.5;0.0;;86.0;;313.0;11.7;565.0
2025-10-08;01:34;Usme;32;;0.0;;;0.0;;13.6;562.0
2025-10-08;01:34;Jazmin;34;0.5;0.0;;84.0;0.0;234.0;13.6;564.0
2025-10-08;01:34;Ciudad Bolivar;37;;0.0;;;0.0;;13.3;558.0
2025-10-08;01:34;Colina;38;0.6;0.0;;;0.0;323.0;11.6;564.0
2025-10-08;01:34;Movil Fontibon;39;;;;;0.0;;12.1;565.0
2025-10-08;02:21;Usaquen;1;0.9;0;;;;101;12.2;
2025-10-08;02:21;Carvajal - Sevillana;3;;0;;;;;13.4;
2025-10-08;02:21;Tunal;4;0.7;0;;79;1;192;;563
2025-10-08;02:21;Centro de Alto Rendimiento;5;0.6;0;;88;0;70;8.5;565
2025-10-08;02:21;Las Ferias;6;0.6;0;;78;;342;11.9;564
2025-10-08;02:21;Guaymaral;8;0.9;0;9.7;85;0;317;9.6;564
2025-10-08;02:21;Kennedy;9;0.9;0;;83.8;0;332;;
2025-10-08;02:21;Suba;11;0.9;0;;;;19;9.5;
2025-10-08;02:21;Puente Aranda;13;1;0;;84;0;153;13.8;563
2025-10-08;02:21;MinAmbiente;17;-9999;0;;;;-9999;;
2025-10-08;02:21;San Cristobal;24;0.6;0;;81;0;76;10.7;
2025-10-08;02:21;Movil 7ma;26;0.2;0;;68.5;0;89;12.6;562
2025-10-08;02:21;Bolivia;27;1.1;0;;93;0;355;11.1;565
2025-10-08;02:21;Fontibon;30;1.2;0;;88;;37;11.5;564
2025-10-08;02:21;Usme;32;;0;;;0;;12.6;562
2025-10-08;02:21;Jazmin;34;1;0;;83;0;161;13.6;564
2025-10-08;02:21;Ciudad Bolivar;37;;0;;;0;;12;557
2025-10-08;02:21;Colina;38;0.6;0;;;0;321;11.4;564
2025-10-08;02:21;Movil Fontibon;39;;;;;0;;11.7;564
