Fecha;Hora;name;stationId;Humedad;Lluvia;Temperatura 8M;Dir Viento;Temperatura;Presion Baro;Vel Viento;Rad Solar
2025-10-09;00:22;Usaquen;1;;0.0;;145.0;11.3;;0.6;
2025-10-09;00:22;Carvajal - Sevillana;3;;0.0;;;12.9;;;
2025-10-09;00:22;Tunal;4;68.0;0.0;;213.0;;564.0;0.8;1.0
2025-10-09;00:22;Centro de Alto Rendimiento;5;86.0;0.0;;310.0;8.2;565.0;0.6;0.0
2025-10-09;00:22;Las Ferias;6;70.0;0.0;;309.0;12.4;564.0;0.7;
2025-10-09;00:22;Guaymaral;8;83.0;0.0;9.5;312.0;9.7;564.0;0.6;0.0
2025-10-09;00:22;Kennedy;9;76.1;0.0;;234.0;;;1.3;0.0
2025-10-09;00:22;Suba;11;;0.0;;12.0;9.8;;0.7;
2025-10-09;00:22;Puente Aranda;13;68.0;0.0;;235.0;13.8;564.0;1.0;0.0
2025-10-09;00:22;MinAmbiente;17;;0.0;;-9999.0;;;-9999.0;
2025-10-09;00:22;San Cristobal;24;73.0;0.0;;107.0;10.7;;1.6;0.0
2025-10-09;00:22;Movil 7ma;26;62.3;0.0;;83.0;13.3;563.0;0.3;0.0
2025-10-09;00:22;Bolivia;27;84.0;0.0;;331.0;11.7;565.0;0.7;0.0
2025-10-09;00:22;Fontibon;30;81.0;0.0;;337.0;12.4;565.0;0.8;
2025-10-09;00:22;Usme;32;;0.0;;;12.1;563.0;;0.0
2025-10-09;00:22;Jazmin;34;69.0;0.0;;265.0;13.4;564.0;0.6;0.0
2025-10-09;00:22;Ciudad Bolivar;37;;0.0;;;12.2;558.0;;0.0
2025-10-09;00:22;Colina;38;;0.0;;320.0;11.6;564.0;0.6;0.0
2025-10-09;00:22;Movil Fontibon;39;;;;;13.2;565.0;;0.0
2025-10-09;01:34;Usaquen;1;;0.0;;10.0;11.2;;0.6;
2025-10-09;01:34;Carvajal - Sevillana;3;;0.0;;;12.8;;;
2025-10-09;01:34;Tunal;4;70.0;0.0;;182.0;;564.0;0.5;1.0
2025-10-09;01:34;Centro de Alto Rendimiento;5;86.0;0.0;;291.0;8.4;565.0;0.5;0.0
2025-10-09;01:34;Las Ferias;6;70.0;0.0;;328.0;12.0;564.0;0.7;
2025-10-09;01:34;Guaymaral;8;82.0;0.0;9.7;293.0;9.9;564.0;0.5;0.0
2025-10-09;01:34;Kennedy;9;76.1;0.0;;234.0;;;1.3;0.0
2025-10-09;01:34;Suba;11;;0.0;;48.0;9.9;;0.8;
2025-10-09;01:34;Puente Aranda;13;76.0;0.0;;270.0;13.2;564.0;1.1;0.0
2025-10-09;01:34;MinAmbiente;17;;0.0;;-9999.0;;;-9999.0;
2025-10-09;01:34;San Cristobal;24;75.0;0.0;;115.0;10.2;;1.7;0.0
2025-10-09;01:34;Movil 7ma;26;63.4;0.0;;83.0;12.9;562.0;0.2;0.0
2025-10-09;01:34;Bolivia;27;84.0;0.0;;341.0;11.2;565.0;0.9;0.0
2025-10-09;01:34;Fontibon;30;81.0;0.0;;358.0;11.4;565.0;1.2;
2025-10-09;01:34;Usme;32;;0.0;;;11.3;562.0;;0.0
2025-10-09;01:34;Jazmin;34;70.0;0.0;;274.0;12.9;564.0;0.6;0.0
