Fecha;Hora;name;stationId;Temperatura;Temperatura 8M;Rad Solar;Dir Viento;Vel Viento;Lluvia;Presion Baro;Humedad
2025-10-10;00:22;Usaquen;1;12.9;;;120;1.6;0;;
2025-10-10;00:22;Carvajal - Sevillana;3;14.6;;;;;0;;
2025-10-10;00:22;Tunal;4;;;1;196;0.9;0;564;73
2025-10-10;00:22;Centro de Alto Rendimiento;5;11.9;;0;120;1.5;0;566;73
2025-10-10;00:22;Las Ferias;6;13.7;;;56;1.9;0;565;67
2025-10-10;00:22;Guaymaral;8;12.2;12.2;0;131;1.1;0;565;78
2025-10-10;00:22;Kennedy;9;;;0;234;1.3;0;;76.1
2025-10-10;00:22;Suba;11;11.5;;;15;0.9;0;;
2025-10-10;00:22;Puente Aranda;13;14.8;;0;214;1.1;0;564;77
2025-10-10;00:22;MinAmbiente;17;;;;-9999;-9999;0;;
2025-10-10;00:22;San Cristobal;24;12.7;;0;100;1.6;0;;73
2025-10-10;00:22;Movil 7ma;26;14.4;;0;126;0.6;0;563;62.3
2025-10-10;00:22;Bolivia;27;12.6;;0;52;2.2;0;566;86
2025-10-10;00:22;Fontibon;30;13.2;;;52;1.3;0;565;81
2025-10-10;00:22;Usme;32;13.5;;0;;;0;563;
2025-10-10;00:22;Jazmin;34;14.7;;0;227;0.8;0;565;76
2025-10-10;00:22;Ciudad Bolivar;37;13.5;;0;;;0;558;
2025-10-10;00:22;Colina;38;13.4;;0;357;0.8;0;565;
2025-10-10;00:22;Movil Fontibon;39;14.1;;1;;;;565;
