Fecha;Hora;name;stationId;Presion Baro;Rad Solar;Dir Viento;Humedad;Temperatura 8M;Vel Viento;Temperatura;Lluvia
2025-10-11;00:20;Usaquen;1;;;332.0;;;0.8;13.7;0.0
2025-10-11;00:20;Carvajal - Sevillana;3;;;;;;;14.4;0.0
2025-10-11;00:20;Tunal;4;564.0;1.0;218.0;82.0;;0.4;;0.0
2025-10-11;00:20;Centro de Alto Rendimiento;5;566.0;0.0;297.0;79.0;;0.4;11.4;0.0
2025-10-11;00:20;Las Ferias;6;565.0;;312.0;73.0;;0.9;13.7;0.0
2025-10-11;00:20;Guaymaral;8;565.0;0.0;343.0;86.0;11.8;0.6;11.9;0.0
2025-10-11;00:20;Kennedy;9;;0.0;234.0;76.1;;1.3;;0.0
2025-10-11;00:20;Suba;11;;;1.0;;;0.6;11.7;0.0
2025-10-11;00:20;Puente Aranda;13;564.0;0.0;257.0;82.0;;1.1;14.5;0.0
2025-10-11;00:20;MinAmbiente;17;;;-9999.0;;;-9999.0;;0.0
2025-10-11;00:20;San Cristobal;24;;0.0;108.0;84.0;;1.1;12.0;0.0
2025-10-11;00:20;Movil 7ma;26;563.0;0.0;162.0;63.1;;0.1;14.8;0.0
2025-10-11;00:20;Bolivia;27;566.0;0.0;347.0;88.0;;0.9;13.0;0.0
2025-10-11;00:20;Fontibon;30;565.0;;347.0;82.0;;1.5;13.2;0.0
2025-10-11;00:20;Usme;32;563.0;0.0;;;;;13.1;0.0
2025-10-11;00:20;Jazmin;34;565.0;0.0;282.0;85.0;;0.6;14.4;0.0
2025-10-11;00:20;Ciudad Bolivar;37;558.0;0.0;;;;;13.1;0.0
2025-10-11;00:20;Colina;38;565.0;0.0;328.0;;;0.6;13.2;0.1
2025-10-11;00:20;Movil Fontibon;39;566.0;1.0;;;;;13.9;
2025-10-11;01:30;Usaquen;1;;;79;;;0.7;12.8;0
2025-10-11;01:30;Carvajal - Sevillana;3;;;;;;;14.6;0
2025-10-11;01:30;Tunal;4;564;1;232;80;;0.4;;0
2025-10-11;01:30;Centro de Alto Rendimiento;5;565;0;343;80;;0.5;11.5;0
2025-10-11;01:30;Las Ferias;6;565;;244;73;;0.4;13.5;0
2025-10-11;01:30;Guaymaral;8;565;0;303;86;12;0.5;12.1;0
2025-10-11;01:30;Kennedy;9;;0;234;76.1;;1.3;;0
2025-10-11;01:30;Suba;11;;;52;;;0.7;11.8;0
2025-10-11;01:30;Puente Aranda;13;564;0;279;83;;1.1;14.5;0
2025-10-11;01:30;MinAmbiente;17;;;-9999;;;-9999;;0
2025-10-11;01:30;San Cristobal;24;;0;108;82;;1.2;12.1;0
2025-10-11;01:30;Movil 7ma;26;563;0;36;66.2;;0.2;14.6;0
2025-10-11;01:30;Bolivia;27;566;0;107;88;;0.9;13.1;0
2025-10-11;01:30;Fontibon;30;565;;42;84;;0.7;13.1;0
2025-10-11;01:30;Usme;32;563;0;;;;;13.6;0
2025-10-11;01:30;Jazmin;34;565;0;307;83;;0.5;14.5;0
2025-10-11;01:30;Ciudad Bolivar;37;558;0;;;;;13.3;0
2025-10-11;01:30;Colina;38;565;0;329;;;0.8;13.1;0
2025-10-11;01:30;Movil Fontibon;39;565;1;;;;;13.7;
