Fecha;Hora;name;stationId;Temperatura;Humedad;Temperatura 8M;Vel Viento;Dir Viento;Lluvia;Presion Baro;Rad Solar
2025-10-12;00:20;Usaquen;1;12.4;;;1;95;0;;
2025-10-12;00:20;Carvajal - Sevillana;3;12.9;;;;;0;;
2025-10-12;00:20;Tunal;4;;84;;1;295;0;563;1
2025-10-12;00:20;Centro de Alto Rendimiento;5;10.5;87;;0.3;290;0;565;0
2025-10-12;00:20;Las Ferias;6;12.6;80;;0.8;325;0;564;
2025-10-12;00:20;Guaymaral;8;12;82;11.9;0.5;263;0;564;0
2025-10-12;00:20;Kennedy;9;;76.1;;1.3;234;0;;0
2025-10-12;00:20;Suba;11;11.6;;;0.6;350;0;;
2025-10-12;00:20;Puente Aranda;13;13.8;97;;1.3;261;0;564;0
2025-10-12;00:20;MinAmbiente;17;;;;-9999;-9999;0;;
2025-10-12;00:20;San Cristobal;24;11.3;84;;1.6;110;0;;0
2025-10-12;00:20;Movil 7ma;26;13.6;72.4;;0.2;177;0;562;0
2025-10-12;00:20;Bolivia;27;12.7;87;;1.4;14;0.1;565;0
2025-10-12;00:20;Fontibon;30;12.7;87;;1.2;332;0;564;
2025-10-12;00:20;Usme;32;13.1;;;;;0;562;0
2025-10-12;00:20;Jazmin;34;13.8;95;;1.2;291;0;564;0
2025-10-12;00:20;Ciudad Bolivar;37;12.6;;;;;0;558;0
2025-10-12;00:20;Colina;38;12.5;;;1;333;0;564;0
2025-10-12;00:20;Movil Fontibon;39;13.3;;;;;;565;0
