Fecha;Hora;name;stationId;Rad Solar;Presion Baro;Lluvia;Temperatura 8M;Humedad;Dir Viento;Temperatura;Vel Viento
2025-10-15;00:22;Usaquen;1;;;0.0;;;130.0;10.6;0.7
2025-10-15;00:22;Carvajal - Sevillana;3;;;0.0;;;;12.5;
2025-10-15;00:22;Tunal;4;1.0;564.0;0.0;;70.0;155.0;;1.7
2025-10-15;00:22;Centro de Alto Rendimiento;5;0.0;565.0;0.0;;88.0;31.0;7.9;0.4
2025-10-15;00:22;Las Ferias;6;;564.0;0.0;;74.0;356.0;11.6;1.5
2025-10-15;00:22;Guaymaral;8;0.0;564.0;0.0;8.9;83.0;297.0;8.8;0.4
2025-10-15;00:22;Kennedy;9;0.0;;0.0;;76.1;234.0;;1.3
2025-10-15;00:22;Suba;11;;;0.0;;;47.0;9.4;0.7
2025-10-15;00:22;Puente Aranda;13;0.0;564.0;0.0;;78.0;98.0;13.3;1.0
2025-10-15;00:22;MinAmbiente;17;;;0.0;;;-9999.0;;-9999.0
2025-10-15;00:22;San Cristobal;24;0.0;;0.0;;77.0;116.0;10.1;1.0
2025-10-15;00:22;Movil 7ma;26;0.0;562.0;0.0;;64.8;76.0;12.3;0.3
2025-10-15;00:22;Bolivia;27;0.0;565.0;0.0;;86.0;269.0;11.3;1.3
2025-10-15;00:22;Fontibon;30;;565.0;0.0;;82.0;42.0;11.8;1.9
2025-10-15;00:22;Usme;32;0.0;562.0;0.0;;;;12.0;
2025-10-15;00:22;Jazmin;34;0.0;564.0;0.0;;75.0;156.0;12.7;0.6
2025-10-15;00:22;Ciudad Bolivar;37;0.0;558.0;0.0;;;;11.3;
2025-10-15;00:22;Colina;38;0.0;564.0;0.0;;;319.0;11.0;0.5
2025-10-15;00:22;Movil Fontibon;39;0.0;565.0;;;;;12.7;
2025-10-15;01:34;Usaquen;1;;;0.0;;;16.0;10.5;0.4
2025-10-15;01:34;Carvajal - Sevillana;3;;;0.0;;;;12.2;
2025-10-15;01:34;Tunal;4;1.0;563.0;0.0;;69.0;158.0;;1.1
2025-10-15;01:34;Centro de Alto Rendimiento;5;0.0;565.0;0.0;;88.0;304.0;7.9;0.4
2025-10-15;01:34;Las Ferias;6;;564.0;0.0;;76.0;3.0;11.0;0.8
2025-10-15;01:34;Guaymaral;8;0.0;563.0;0.0;8.8;84.0;324.0;8.6;0.9
2025-10-15;01:34;Kennedy;9;0.0;;0.0;;76.1;234.0;;1.3
2025-10-15;01:34;Suba;11;;;0.0;;;30.0;9.1;1.3
2025-10-15;01:34;Puente Aranda;13;0.0;563.0;0.0;;83.0;246.0;12.9;0.8
2025-10-15;01:34;MinAmbiente;17;;;0.0;;;-9999.0;;-9999.0
2025-10-15;01:34;San Cristobal;24;0.0;;0.0;;80.0;110.0;9.4;0.7
2025-10-15;01:34;Movil 7ma;26;0.0;562.0;0.0;;65.6;108.0;12.1;0.2
2025-10-15;01:34;Bolivia;27;0.0;565.0;0.0;;85.0;50.0;11.3;1.8
2025-10-15;01:34;Fontibon;30;;564.0;0.0;;83.0;48.0;11.3;1.8
2025-10-15;01:34;Usme;32;0.0;562.0;0.0;;;;11.8;
2025-10-15;01:34;Jazmin;34;0.0;564.0;0.0;;82.0;268.0;11.8;0.3
2025-10-15;01:34;Ciudad Bolivar;37;0.0;557.0;0.0;;;;10.7;
2025-10-15;01:34;Colina;38;0.0;564.0;0.0;;;344.0;10.8;0.7
2025-10-15;01:34;Movil Fontibon;39;0.0;564.0;;;;;12.2;
2025-10-15;02:23;Usaquen;1;;;0;;;103;9.6;0.3
2025-10-15;02:23;Carvajal - Sevillana;3;;;0;;;;11.2;
2025-10-15;02:23;Tunal;4;1;563;0;;73;254;;0.7
2025-10-15;02:23;Centro de Alto Rendimiento;5;0;564;0.1;;88;258;6.9;0.4
2025-10-15;02:23;Las Ferias;6;;563;0;;81;232;9.7;0.2
2025-10-15;02:23;Guaymaral;8;0;563;0;8.2;85;340;8.2;0.9
2025-10-15;02:23;Kennedy;9;0;;0;;76.1;234;;1.3
2025-10-15;02:23;Suba;11;;;0;;;53;8.5;1.3
2025-10-15;02:23;Puente Aranda;13;0;563;0;;89;269;12.1;1
2025-10-15;02:23;MinAmbiente;17;;;0;;;-9999;;-9999
2025-10-15;02:23;San Cristobal;24;0;;0;;81;108;8.7;1.4
2025-10-15;02:23;Movil 7ma;26;0;561;0;;67.2;87;11.1;0.2
2025-10-15;02:23;Bolivia;27;0;564;0;;87;78;10.5;1
2025-10-15;02:23;Fontibon;30;;564;0;;86;319;10.5;0.3
2025-10-15;02:23;Usme;32;0;561;0;;;;10.7;
2025-10-15;02:23;Jazmin;34;0;563;0;;86;257;11.2;0.4
2025-10-15;02:23;Ciudad Bolivar;37;0;557;0;;;;10.5;
2025-10-15;02:23;Colina;38;0;563;0;;;276;9.9;0.3
2025-10-15;02:23;Movil Fontibon;39;0;564;;;;;10.8;
