Fecha;Hora;name;stationId;Lluvia;Dir Viento;Vel Viento;Temperatura 8M;Humedad;Presion Baro;Temperatura;Rad Solar
2025-10-16;00:22;Usaquen;1;0.0;33.0;0.4;;;;13.6;
2025-10-16;00:22;Carvajal - Sevillana;3;0.0;;;;;;14.2;
2025-10-16;00:22;Tunal;4;0.0;203.0;0.6;;85.0;563.0;;1.0
2025-10-16;00:22;Centro de Alto Rendimiento;5;0.0;303.0;0.2;;85.0;564.0;10.7;0.0
2025-10-16;00:22;Las Ferias;6;0.0;321.0;0.7;;75.0;563.0;13.0;
2025-10-16;00:22;Guaymaral;8;0.0;329.0;0.8;13.0;76.0;563.0;13.1;0.0
2025-10-16;00:22;Kennedy;9;0.0;244.0;0.6;;81.5;;;0.0
2025-10-16;00:22;Suba;11;0.1;17.0;1.1;;;;12.5;
2025-10-16;00:22;Puente Aranda;13;0.0;202.0;1.9;;85.0;563.0;14.4;0.0
2025-10-16;00:22;MinAmbiente;17;0.0;-9999.0;-9999.0;;;;;
2025-10-16;00:22;San Cristobal;24;0.0;101.0;1.3;;78.0;;11.9;0.0
2025-10-16;00:22;Movil 7ma;26;0.0;177.0;0.1;;65.8;562.0;14.4;0.0
2025-10-16;00:22;Bolivia;27;0.3;22.0;1.3;;85.0;564.0;13.7;0.0
2025-10-16;00:22;Fontibon;30;0.0;345.0;1.3;;80.0;564.0;13.8;
2025-10-16;00:22;Usme;32;0.0;;;;;562.0;13.2;0.0
2025-10-16;00:22;Jazmin;34;0.0;201.0;0.9;;86.0;564.0;14.2;0.0
2025-10-16;00:22;Ciudad Bolivar;37;0.0;;;;;557.0;13.2;0.0
2025-10-16;00:22;Colina;38;0.0;324.0;0.7;;;564.0;12.7;0.0
2025-10-16;00:22;Movil Fontibon;39;;;;;;564.0;14.3;0.0
2025-10-16;01:34;Usaquen;1;0.0;178.0;0.6;;;;13.5;
2025-10-16;01:34;Carvajal - Sevillana;3;0.0;;;;;;13.8;
2025-10-16;01:34;Tunal;4;0.0;178.0;0.9;;84.0;562.0;;1.0
2025-10-16;01:34;Centro de Alto Rendimiento;5;0.0;348.0;0.4;;86.0;564.0;10.7;0.0
2025-10-16;01:34;Las Ferias;6;0.0;323.0;0.8;;77.0;563.0;13.1;
2025-10-16;01:34;Guaymaral;8;0.0;324.0;1.0;12.8;78.0;563.0;12.9;0.0
2025-10-16;01:34;Kennedy;9;0.0;262.0;0.6;;81.6;;;0.0
2025-10-16;01:34;Suba;11;2.5;23.0;1.1;;;;12.2;
2025-10-16;01:34;Puente Aranda;13;0.0;229.0;1.0;;87.0;563.0;14.2;0.0
2025-10-16;01:34;MinAmbiente;17;0.0;-9999.0;-9999.0;;;;;
2025-10-16;01:34;San Cristobal;24;0.0;89.0;0.8;;77.0;;11.9;0.0
2025-10-16;01:34;Movil 7ma;26;0.0;100.0;0.2;;64.9;561.0;14.3;0.0
2025-10-16;01:34;Bolivia;27;0.5;84.0;1.8;;89.0;564.0;13.2;0.0
2025-10-16;01:34;Fontibon;30;4.8;67.0;2.3;;85.0;563.0;13.0;
2025-10-16;01:34;Usme;32;0.0;;;;;561.0;12.9;0.0
2025-10-16;01:34;Jazmin;34;0.0;201.0;0.4;;84.0;563.0;14.2;0.0
2025-10-16;01:34;Ciudad Bolivar;37;0.0;;;;;557.0;13.1;0.0
2025-10-16;01:34;Colina;38;0.1;331.0;1.1;;;563.0;13.1;0.0
2025-10-16;01:34;Movil Fontibon;39;;;;;;564.0;13.8;1.0
2025-10-16;02:23;Usaquen;1;0.0;324.0;0.3;;;;13.0;
2025-10-16;02:23;Carvajal - Sevillana;3;0.0;;;;;;13.4;
2025-10-16;02:23;Tunal;4;0.0;224.0;0.6;;84.0;562.0;;1.0
2025-10-16;02:23;Centro de Alto Rendimiento;5;0.0;324.0;1.1;;85.0;564.0;10.7;0.0
2025-10-16;02:23;Las Ferias;6;0.0;285.0;1.2;;80.0;563.0;12.5;
2025-10-16;02:23;Guaymaral;8;0.1;307.0;1.0;12.1;81.0;563.0;12.3;0.0
2025-10-16;02:23;Kennedy;9;0.1;297.0;1.0;;81.7;;;0.0
2025-10-16;02:23;Suba;11;0.6;344.0;1.1;;;;11.9;
2025-10-16;02:23;Puente Aranda;13;0.0;272.0;1.1;;91.0;563.0;14.0;0.0
2025-10-16;02:23;MinAmbiente;17;0.0;-9999.0;-9999.0;;;;;
2025-10-16;02:23;San Cristobal;24;0.0;95.0;0.6;;77.0;;11.9;0.0
2025-10-16;02:23;Movil 7ma;26;0.0;356.0;0.2;;67.8;561.0;13.8;0.0
2025-10-16;02:23;Bolivia;27;0.8;349.0;1.4;;92.0;564.0;12.5;0.0
2025-10-16;02:23;Fontibon;30;0.0;12.0;2.0;;90.0;563.0;12.4;
2025-10-16;02:23;Usme;32;0.0;;;;;561.0;12.9;0.0
2025-10-16;02:23;Jazmin;34;0.0;248.0;0.7;;84.0;563.0;13.9;0.0
2025-10-16;02:23;Ciudad Bolivar;37;0.0;;;;;557.0;12.9;0.0
2025-10-16;02:23;Colina;38;0.1;339.0;1.2;;;563.0;12.8;0.0
