Fecha;Hora;name;stationId;Vel Viento;Humedad;Temperatura 8M;Dir Viento;Presion Baro;Rad Solar;Temperatura;Lluvia
2025-10-18;00:20;Usaquen;1;1.5;;;132;;;12.2;1.8
2025-10-18;00:20;Carvajal - Sevillana;3;1.8;;;55;;;13;1
2025-10-18;00:20;Tunal;4;0.7;86;;211;564;1;;0.5
2025-10-18;00:20;Centro de Alto Rendimiento;5;1.3;84;;307;565;0;11.2;0.5
2025-10-18;00:20;Las Ferias;6;;80;;;564;;12.7;0.7
2025-10-18;00:20;Guaymaral;8;1;84;12;57;564;0;12.2;3.8
2025-10-18;00:20;Kennedy;9;1.8;85.3;;335;;0;;0
2025-10-18;00:20;Suba;11;2;;;14;;;12.2;3.3
2025-10-18;00:20;Puente Aranda;13;1.7;99;;266;564;0;12.8;0.8
2025-10-18;00:20;MinAmbiente;17;-9999;;;-9999;;;;1.1
2025-10-18;00:20;San Cristobal;24;1;85;;86;;0;11.5;0.1
2025-10-18;00:20;Movil 7ma;26;0.2;70.9;;337;563;0;14.1;1.1
2025-10-18;00:20;Bolivia;27;1.4;91;;281;565;0;12.1;4.5
2025-10-18;00:20;Fontibon;30;2.3;92;;291;565;;11.6;0.6
2025-10-18;00:20;Usme;32;;;;;563;0;13.1;0.1
2025-10-18;00:20;Jazmin;34;1.2;97;;304;565;0;13.1;2.4
2025-10-18;00:20;Ciudad Bolivar;37;;;;;558;0;12.3;0.1
2025-10-18;00:20;Colina;38;0.9;;;271;562;53;14.8;0.3
2025-10-18;00:20;Movil Fontibon;39;;;;;565;1;12.1;
