Fecha;Hora;name;stationId;Temperatura;Rad Solar;Temperatura 8M;Presion Baro;Humedad;Dir Viento;Lluvia;Vel Viento
2025-10-22;00:23;Usaquen;1;13.3;;;;;167.0;0.0;1.5
2025-10-22;00:23;Carvajal - Sevillana;3;14.4;;;;;240.0;0.0;0.6
2025-10-22;00:23;Tunal;4;;1.0;;564.0;74.0;186.0;0.0;0.8
2025-10-22;00:23;Centro de Alto Rendimiento;5;10.1;0.0;;565.0;87.0;297.0;0.0;0.3
2025-10-22;00:23;Las Ferias;6;12.5;;;564.0;81.0;;0.0;
2025-10-22;00:23;Guaymaral;8;12.9;0.0;13.0;564.0;78.0;252.0;0.0;0.9
2025-10-22;00:23;Kennedy;9;;0.0;;;82.3;357.0;0.0;1.0
2025-10-22;00:23;Suba;11;11.5;;;;;9.0;0.0;1.0
2025-10-22;00:23;Puente Aranda;13;14.3;0.0;;564.0;88.0;332.0;0.0;0.9
2025-10-22;00:23;MinAmbiente;17;;;;;;-9999.0;0.0;-9999.0
2025-10-22;00:23;San Cristobal;24;12.5;0.0;;;74.0;21.0;0.0;0.8
2025-10-22;00:23;Movil 7ma;26;14.1;0.0;;562.0;68.4;164.0;0.0;0.4
2025-10-22;00:23;Bolivia;27;12.7;0.0;;565.0;93.0;345.0;0.0;1.2
2025-10-22;00:23;Fontibon;30;12.4;;;565.0;89.0;349.0;0.0;0.9
2025-10-22;00:23;Usme;32;13.9;0.0;;562.0;;;0.0;
2025-10-22;00:23;Jazmin;34;14.0;0.0;;564.0;90.0;334.0;0.0;1.0
2025-10-22;00:23;Ciudad Bolivar;37;13.5;0.0;;558.0;;;0.0;
2025-10-22;00:23;Colina;38;14.8;53.0;;562.0;;271.0;0.3;0.9
2025-10-22;00:23;Movil Fontibon;39;13.1;0.0;;565.0;;;;
2025-10-22;01:35;Usaquen;1;12.7;;;;;123;0;1
2025-10-22;01:35;Carvajal - Sevillana;3;14.5;;;;;246;0;2.2
2025-10-22;01:35;Tunal;4;;1;;563;74;179;0;1
2025-10-22;01:35;Centro de Alto Rendimiento;5;10.4;0;;565;88;235;0;0.3
2025-10-22;01:35;Las Ferias;6;12.6;;;564;75;;0;
2025-10-22;01:35;Guaymaral;8;12.9;0;12.8;564;78;266;0;0.8
2025-10-22;01:35;Kennedy;9;;0;;;84.8;331;0;0.7
2025-10-22;01:35;Suba;11;11.5;;;;;15;0;0.9
2025-10-22;01:35;Puente Aranda;13;14.1;0;;564;88;259;0;1
2025-10-22;01:35;MinAmbiente;17;;;;;;-9999;0;-9999
2025-10-22;01:35;San Cristobal;24;12.6;0;;;80;45;0;0.1
2025-10-22;01:35;Movil 7ma;26;14.3;0;;562;65.7;222;0;0.5
2025-10-22;01:35;Bolivia;27;12.6;0;;565;90;22;0;1.2
2025-10-22;01:35;Fontibon;30;12.6;;;564;89;298;0;0.9
2025-10-22;01:35;Usme;32;13.9;0;;562;;;0;
2025-10-22;01:35;Jazmin;34;14.2;0;;564;84;298;0;0.9
2025-10-22;01:35;Ciudad Bolivar;37;13.6;0;;557;;;0;
2025-10-22;01:35;Colina;38;14.8;53;;562;;271;0.3;0.9
2025-10-22;01:35;Movil Fontibon;39;12.7;1;;565;;;;
