Fecha;Hora;name;stationId;Rad Solar;Lluvia;Humedad;Presion Baro;Temperatura;Dir Viento;Vel Viento;Temperatura 8M
2025-10-23;00:22;Usaquen;1;;0;;;11.9;116;0.7;
2025-10-23;00:22;Carvajal - Sevillana;3;;0;;;13.2;238;1.8;
2025-10-23;00:22;Tunal;4;1;0;79;564;;203;0.5;
2025-10-23;00:22;Centro de Alto Rendimiento;5;0;0;88;566;9;15;0.2;
2025-10-23;00:22;Las Ferias;6;;0;82;565;11.4;;;
2025-10-23;00:22;Guaymaral;8;0;0;87;564;10.4;270;0.5;10.4
2025-10-23;00:22;Kennedy;9;0;0;80.5;;;149;0.5;
2025-10-23;00:22;Suba;11;;0;;;10.6;42;0.8;
2025-10-23;00:22;Puente Aranda;13;0;0;82;564;14;196;1;
2025-10-23;00:22;MinAmbiente;17;;0;;;;-9999;-9999;
2025-10-23;00:22;San Cristobal;24;0;0;81;;10.5;101;1.5;
2025-10-23;00:22;Movil 7ma;26;0;0;69;563;12.3;99;0.2;
2025-10-23;00:22;Bolivia;27;0;0;90;565;12.5;67;1.4;
2025-10-23;00:22;Fontibon;30;;0;87;565;12.7;68;1.1;
2025-10-23;00:22;Usme;32;0;0;;563;12.6;;;
2025-10-23;00:22;Jazmin;34;0;0;84;565;13.2;213;0.4;
2025-10-23;00:22;Ciudad Bolivar;37;0;0;;558;12.7;;;
2025-10-23;00:22;Colina;38;53;0.3;;562;14.8;271;0.9;
2025-10-23;00:22;Movil Fontibon;39;0;;;565;13.6;;;
