Fecha;Hora;name;stationId;Temperatura;Dir Viento;Humedad;Vel Viento;Rad Solar;Presion Baro;Lluvia;Temperatura 8M
2025-10-25;00:21;Usaquen;1;13.1;134.0;;2.6;;;0.0;
2025-10-25;00:21;Carvajal - Sevillana;3;14.9;259.0;;2.6;;;0.0;
2025-10-25;00:21;Tunal;4;;197.0;76.0;0.8;1.0;563.0;0.0;
2025-10-25;00:21;Centro de Alto Rendimiento;5;9.6;330.0;84.0;0.4;0.0;565.0;0.0;
2025-10-25;00:21;Las Ferias;6;13.3;306.0;73.0;0.4;;564.0;0.0;
2025-10-25;00:21;Guaymaral;8;13.2;132.0;72.0;1.1;0.0;564.0;0.0;13.3
2025-10-25;00:21;Kennedy;9;;199.0;75.7;1.6;0.0;;0.0;
2025-10-25;00:21;Suba;11;12.1;334.0;;0.8;;;0.0;
2025-10-25;00:21;Puente Aranda;13;14.8;201.0;78.0;2.0;0.0;564.0;0.0;
2025-10-25;00:21;MinAmbiente;17;;-9999.0;;-9999.0;;;0.0;
2025-10-25;00:21;San Cristobal;24;12.2;107.0;73.0;1.8;0.0;;0.0;
2025-10-25;00:21;Movil 7ma;26;14.9;86.0;58.1;0.2;0.0;562.0;0.0;
2025-10-25;00:21;Bolivia;27;13.2;309.0;85.0;0.7;0.0;565.0;0.0;
2025-10-25;00:21;Fontibon;30;13.9;185.0;76.0;1.7;;564.0;0.0;
2025-10-25;00:21;Usme;32;14.0;;;;0.0;562.0;0.0;
2025-10-25;00:21;Jazmin;34;14.7;206.0;76.0;0.6;0.0;564.0;0.0;
2025-10-25;00:21;Ciudad Bolivar;37;13.6;;;;0.0;558.0;0.0;
2025-10-25;00:21;Colina;38;14.8;271.0;;0.9;53.0;562.0;0.3;
2025-10-25;00:21;Movil Fontibon;39;14.3;;;;0.0;565.0;;
2025-10-25;01:31;Usaquen;1;13.3;180.0;;1.1;;;0.0;
2025-10-25;01:31;Carvajal - Sevillana;3;14.7;250.0;;2.8;;;0.0;
2025-10-25;01:31;Tunal;4;;171.0;75.0;1.0;1.0;563.0;0.0;
