Fecha;Hora;name;stationId;Rad Solar;Vel Viento;Presion Baro;Temperatura 8M;Temperatura;Humedad;Dir Viento;Lluvia
2025-10-26;00:21;Usaquen;1;;1.3;;;13.9;;131;0
2025-10-26;00:21;Carvajal - Sevillana;3;;1.3;;;15.3;;7;0
2025-10-26;00:21;Tunal;4;1;0.7;563;;;73;223;0
2025-10-26;00:21;Centro de Alto Rendimiento;5;0;0.5;565;;11.4;87;283;0
2025-10-26;00:21;Las Ferias;6;;1.2;564;;14.7;73;252;0
2025-10-26;00:21;Guaymaral;8;0;0.5;564;14;14.1;77;288;0
2025-10-26;00:21;Kennedy;9;0;1.6;;;;77.8;280;0
2025-10-26;00:21;Suba;11;;0.7;;;13.8;;5;0
2025-10-26;00:21;Puente Aranda;13;0;1.9;564;;15.4;84;237;0
2025-10-26;00:21;MinAmbiente;17;;-9999;;;;;-9999;0
2025-10-26;00:21;San Cristobal;24;0;0.8;;;13.3;75;116;0
2025-10-26;00:21;Movil 7ma;26;0;0.3;562;;16;62.9;211;0
2025-10-26;00:21;Bolivia;27;462;2.3;565;;17.7;72;261;0
2025-10-26;00:21;Fontibon;30;;2.4;565;;14.2;83;251;0
2025-10-26;00:21;Usme;32;0;;562;;14.6;;;0
2025-10-26;00:21;Jazmin;34;0;1.4;564;;15.5;79;259;0
2025-10-26;00:21;Ciudad Bolivar;37;0;;558;;13.7;;;0
2025-10-26;00:21;Colina;38;53;0.9;562;;14.8;;271;0.3
2025-10-26;00:21;Movil Fontibon;39;0;;565;;14.8;;;
