Fecha;Hora;name;stationId;Lluvia;Rad Solar;Dir Viento;Temperatura;Vel Viento;Temperatura 8M;Presion Baro;Humedad
2025-10-29;00:25;Usaquen;1;0;;145;13.4;2.4;;;
2025-10-29;00:25;Carvajal - Sevillana;3;0;;250;14.5;2.3;;;
2025-10-29;00:25;Tunal;4;0;1;165;;1.6;;564;75
2025-10-29;00:25;Centro de Alto Rendimiento;5;0;0;8;8.5;0.4;;566;87
2025-10-29;00:25;Las Ferias;6;0;;351;12.1;1.3;;565;76
2025-10-29;00:25;Guaymaral;8;0;0;313;9.5;0.7;9.8;565;84
2025-10-29;00:25;Kennedy;9;0;615;174;;1.7;;;46.2
2025-10-29;00:25;Suba;11;0;;21;10;0.7;;;
2025-10-29;00:25;Puente Aranda;13;0;0;238;14.8;0.7;;565;77
2025-10-29;00:25;MinAmbiente;17;0;;-9999;;-9999;;;
2025-10-29;00:25;San Cristobal;24;0;0;113;11.3;1.4;;;79
2025-10-29;00:25;Movil 7ma;26;0;0;175;14.3;0.8;;563;61.5
2025-10-29;00:25;Bolivia;27;0;0;54;12.2;1.5;;566;85
2025-10-29;00:25;Fontibon;30;0;;46;12.5;1.4;;566;83
2025-10-29;00:25;Usme;32;0;0;;13.9;;;563;
2025-10-29;00:25;Jazmin;34;0;0;211;14.1;0.6;;565;75
2025-10-29;00:25;Ciudad Bolivar;37;0;0;;13.7;;;559;
2025-10-29;00:25;Colina;38;0.3;53;271;14.8;0.9;;562;
2025-10-29;00:25;Movil Fontibon;39;;0;;13.4;;;566;
