Fecha;Hora;name;stationId;Lluvia;Humedad;Dir Viento;Vel Viento;Temperatura 8M;Presion Baro;Rad Solar;Temperatura
2025-11-01;00:21;Usaquen;1;0;;110;1.8;;;;11.6
2025-11-01;00:21;Carvajal - Sevillana;3;0;;234;2.1;;;;13.2
2025-11-01;00:21;Tunal;4;0;75;170;1.2;;564;1;
2025-11-01;00:21;Centro de Alto Rendimiento;5;0;83;319;0.3;;566;0;8
2025-11-01;00:21;Las Ferias;6;0;76;353;1.4;;565;;11.7
2025-11-01;00:21;Guaymaral;8;0;82;309;0.6;9.5;565;0;9.2
2025-11-01;00:21;Kennedy;9;0;46.2;174;1.7;;;615;
2025-11-01;00:21;Suba;11;0;;22;1.2;;;;9.6
2025-11-01;00:21;Puente Aranda;13;0;81;177;0.8;;565;0;13.8
2025-11-01;00:21;MinAmbiente;17;0;;-9999;-9999;;;;
2025-11-01;00:21;San Cristobal;24;0;78;114;1.4;;;0;10.1
2025-11-01;00:21;Movil 7ma;26;0;60.4;117;0.1;;563;0;13.5
2025-11-01;00:21;Bolivia;27;0;83;50;1.7;;566;0;12
2025-11-01;00:21;Fontibon;30;0;81;45;1.5;;565;;12.1
2025-11-01;00:21;Usme;32;0;;;;;563;0;12.5
2025-11-01;00:21;Jazmin;34;0;79;190;0.5;;565;0;13.2
2025-11-01;00:21;Ciudad Bolivar;37;0;;;;;558;0;12.3
2025-11-01;00:21;Colina;38;0.3;;271;0.9;;562;53;14.8
2025-11-01;00:21;Movil Fontibon;39;;;;;;566;0;13.1
