Fecha;Hora;name;stationId;Dir Viento;Humedad;Presion Baro;Temperatura;Temperatura 8M;Vel Viento;Rad Solar;Lluvia
2025-11-02;00:22;Usaquen;1;111.0;;;13.2;;1.7;;0.0
2025-11-02;00:22;Carvajal - Sevillana;3;252.0;;;14.4;;2.0;;0.0
2025-11-02;00:22;Tunal;4;211.0;77.0;564.0;;;0.8;1.0;0.0
2025-11-02;00:22;Centro de Alto Rendimiento;5;42.0;72.0;566.0;10.6;;0.7;0.0;0.0
2025-11-02;00:22;Las Ferias;6;20.0;65.0;565.0;13.5;;1.1;;0.0
2025-11-02;00:22;Guaymaral;8;281.0;76.0;564.0;11.5;11.4;0.6;0.0;0.0
2025-11-02;00:22;Kennedy;9;174.0;46.2;;;;1.7;615.0;0.0
2025-11-02;00:22;Suba;11;29.0;;;11.2;;0.9;;0.0
2025-11-02;00:22;Puente Aranda;13;153.0;63.0;564.0;15.1;;1.0;0.0;0.0
2025-11-02;00:22;MinAmbiente;17;-9999.0;;;;;-9999.0;;0.0
2025-11-02;00:22;San Cristobal;24;133.0;70.0;;11.7;;0.9;0.0;0.0
2025-11-02;00:22;Movil 7ma;26;201.0;57.4;563.0;14.2;;0.2;0.0;0.0
2025-11-02;00:22;Bolivia;27;354.0;80.0;566.0;12.6;;1.1;0.0;0.0
2025-11-02;00:22;Fontibon;30;54.0;70.0;565.0;13.8;;2.1;;0.0
2025-11-02;00:22;Usme;32;;;563.0;13.6;;;0.0;0.0
2025-11-02;00:22;Jazmin;34;189.0;64.0;565.0;14.4;;0.5;0.0;0.0
2025-11-02;00:22;Ciudad Bolivar;37;;;558.0;13.5;;;0.0;0.0
2025-11-02;00:22;Colina;38;271.0;;562.0;14.8;;0.9;53.0;0.3
2025-11-02;00:22;Movil Fontibon;39;;;565.0;14.5;;;0.0;
2025-11-02;01:33;Usaquen;1;43.0;;;12.9;;0.4;;0.0
2025-11-02;01:33;Carvajal - Sevillana;3;209.0;;;14.0;;1.8;;0.0
2025-11-02;01:33;Tunal;4;185.0;73.0;564.0;;;0.9;1.0;0.0
2025-11-02;01:33;Centro de Alto Rendimiento;5;60.0;71.0;565.0;11.2;;0.4;0.0;0.0
2025-11-02;01:33;Las Ferias;6;356.0;66.0;564.0;13.6;;1.1;;0.0
2025-11-02;01:33;Guaymaral;8;305.0;76.0;564.0;11.8;11.6;0.6;0.0;0.0
2025-11-02;01:33;Kennedy;9;174.0;46.2;;;;1.7;615.0;0.0
2025-11-02;01:33;Suba;11;355.0;;;11.1;;0.4;;0.0
2025-11-02;01:33;Puente Aranda;13;50.0;67.0;564.0;14.9;;0.9;0.0;0.0
2025-11-02;01:33;MinAmbiente;17;-9999.0;;;;;-9999.0;;0.0
2025-11-02;01:33;San Cristobal;24;118.0;71.0;;12.1;;1.0;0.0;0.0
2025-11-02;01:33;Movil 7ma;26;226.0;59.7;562.0;14.3;;0.6;0.0;0.0
2025-11-02;01:33;Bolivia;27;25.0;79.0;565.0;13.1;;1.4;0.0;0.0
2025-11-02;01:33;Fontibon;30;45.0;72.0;565.0;13.6;;1.6;;0.0
2025-11-02;01:33;Usme;32;;;563.0;13.0;;;0.0;0.0
2025-11-02;01:33;Jazmin;34;305.0;70.0;564.0;14.3;;0.7;0.0;0.0
2025-11-02;01:33;Ciudad Bolivar;37;;;558.0;13.5;;;0.0;0.0
2025-11-02;01:33;Colina;38;271.0;;562.0;14.8;;0.9;53.0;0.3
2025-11-02;01:33;Movil Fontibon;39;;;565.0;14.4;;;1.0;
2025-11-02;02:20;Usaquen;1;271;;;12.4;;0.3;;0
2025-11-02;02:20;Carvajal - Sevillana;3;243;;;14.2;;1.5;;0
2025-11-02;02:20;Tunal;4;191;66;563;;;0.7;1;0
2025-11-02;02:20;Centro de Alto Rendimiento;5;118;71;565;11.6;;0.5;0;0
2025-11-02;02:20;Las Ferias;6;355;66;564;13.6;;1.5;;0
2025-11-02;02:20;Guaymaral;8;299;76;564;11.6;11.3;0.3;0;0
2025-11-02;02:20;Kennedy;9;174;46.2;;;;1.7;615;0
2025-11-02;02:20;Suba;11;12;;;11;;0.6;;0
2025-11-02;02:20;Puente Aranda;13;65;72;564;14.8;;0.9;0;0
2025-11-02;02:20;MinAmbiente;17;-9999;;;;;-9999;;0
2025-11-02;02:20;San Cristobal;24;109;72;;12.2;;1.1;0;0
2025-11-02;02:20;Movil 7ma;26;143;64.3;562;13.8;;0.2;0;0
2025-11-02;02:20;Bolivia;27;17;82;565;12.6;;1.3;0;0
2025-11-02;02:20;Fontibon;30;19;74;564;13.3;;1.3;;0
2025-11-02;02:20;Usme;32;;;562;13.1;;;0;0
2025-11-02;02:20;Jazmin;34;241;66;564;14.6;;0.6;0;0
2025-11-02;02:20;Ciudad Bolivar;37;;;558;13;;;0;0
2025-11-02;02:20;Colina;38;271;;562;14.8;;0.9;53;0.3
2025-11-02;02:20;Movil Fontibon;39;;;565;14.2;;;0;
