Fecha;Hora;name;stationId;Rad Solar;Temperatura;Lluvia;Vel Viento;Presion Baro;Dir Viento;Humedad;Temperatura 8M
2025-11-05;00:24;Usaquen;1;;11.6;0;0.8;;108;;
2025-11-05;00:24;Carvajal - Sevillana;3;;13.1;0;1.4;;240;;
2025-11-05;00:24;Tunal;4;1;;0;0.4;565;251;79;
2025-11-05;00:24;Centro de Alto Rendimiento;5;0;10;0;0.4;566;325;87;
2025-11-05;00:24;Las Ferias;6;;13.7;0;0.9;566;227;77;
2025-11-05;00:24;Guaymaral;8;0;10.7;0;0.5;565;300;81;10.8
2025-11-05;00:24;Kennedy;9;615;;0;1.7;;174;46.2;
2025-11-05;00:24;Suba;11;;11.9;0;0.7;;16;;
2025-11-05;00:24;Puente Aranda;13;0;14.1;0;1.2;565;215;83;
2025-11-05;00:24;MinAmbiente;17;;;0;-9999;;-9999;;
2025-11-05;00:24;San Cristobal;24;0;10.6;0;2;;104;76;
2025-11-05;00:24;Movil 7ma;26;0;14;0;0.3;564;77;63;
2025-11-05;00:24;Bolivia;27;0;13.5;0;0.7;566;339;86;
2025-11-05;00:24;Fontibon;30;;13.2;0;0.8;566;264;87;
2025-11-05;00:24;Usme;32;0;12.4;0;;564;;;
2025-11-05;00:24;Jazmin;34;0;12.9;0;0.4;566;220;88;
2025-11-05;00:24;Ciudad Bolivar;37;0;12.4;0;;559;;;
2025-11-05;00:24;Colina;38;53;14.8;0.3;0.9;562;271;;
2025-11-05;00:24;Movil Fontibon;39;0;13.5;;;566;;;
