Fecha;Hora;name;stationId;Dir Viento;Vel Viento;Temperatura;Rad Solar;Lluvia;Presion Baro;Humedad;Temperatura 8M
2025-11-10;00:25;Usaquen;1;19;0.6;13.5;;0;;;
2025-11-10;00:25;Carvajal - Sevillana;3;289;1.7;14.8;;0;;;
2025-11-10;00:25;Tunal;4;205;0.8;;1;0;564;78;
2025-11-10;00:25;Centro de Alto Rendimiento;5;138;1.3;13;0;0;566;64;
2025-11-10;00:25;Las Ferias;6;18;1.6;14.3;;0;565;64;
2025-11-10;00:25;Guaymaral;8;267;0.5;12.3;0;0;564;74;12.5
2025-11-10;00:25;Kennedy;9;174;1.7;;615;0;;46.2;
2025-11-10;00:25;Suba;11;27;1.1;12.5;;0;;;
2025-11-10;00:25;Puente Aranda;13;203;1.9;15.4;0;0;564;73;
2025-11-10;00:25;MinAmbiente;17;-9999;-9999;;;0;;;
2025-11-10;00:25;San Cristobal;24;159;1.3;13.4;0;0;;68;
2025-11-10;00:25;Movil 7ma;26;187;0.2;10.5;0;0;563;58.8;
2025-11-10;00:25;Bolivia;27;21;1.2;13.8;0;0;565;78;
2025-11-10;00:25;Fontibon;30;56;1.7;14.2;;0;565;71;
2025-11-10;00:25;Usme;32;;;13.7;0;0;563;;
2025-11-10;00:25;Jazmin;34;235;1;15.1;0;0;565;74;
2025-11-10;00:25;Ciudad Bolivar;37;;;13.6;0;0;558;;
2025-11-10;00:25;Colina;38;271;0.9;14.8;53;0.3;562;;
2025-11-10;00:25;Movil Fontibon;39;;;15.1;0;;565;;
