Fecha;Hora;name;stationId;Rad Solar;Vel Viento;Temperatura;Presion Baro;Temperatura 8M;Humedad;Dir Viento;Lluvia
2025-11-11;00:24;Usaquen;1;;1;12.8;;;;128;0
2025-11-11;00:24;Carvajal - Sevillana;3;;2.6;12.4;;;;244;0
2025-11-11;00:24;Tunal;4;1;0.7;;565;;72;206;0
2025-11-11;00:24;Centro de Alto Rendimiento;5;0;0.3;7.9;566;;82;282;0
2025-11-11;00:24;Las Ferias;6;;0.2;12.3;565;;70;74;0
2025-11-11;00:24;Guaymaral;8;0;0.6;11.4;565;11.7;74;290;0
2025-11-11;00:24;Kennedy;9;615;1.7;;;;46.2;174;0
2025-11-11;00:24;Suba;11;;0.4;11.2;;;;25;0
2025-11-11;00:24;Puente Aranda;13;0;1.6;13.7;565;;72;193;0
2025-11-11;00:24;MinAmbiente;17;;-9999;;;;;-9999;0
2025-11-11;00:24;San Cristobal;24;0;1.5;11.3;;;73;120;0
2025-11-11;00:24;Movil 7ma;26;0;1.2;13.4;564;;60;252;0
2025-11-11;00:24;Bolivia;27;0;0.7;12.4;566;;83;234;0
2025-11-11;00:24;Fontibon;30;;1.6;13.1;566;;68;192;0
2025-11-11;00:24;Usme;32;0;;10.5;564;;;;0
2025-11-11;00:24;Jazmin;34;0;0.5;13.4;565;;71;221;0
2025-11-11;00:24;Ciudad Bolivar;37;0;;12.8;559;;;;0
2025-11-11;00:24;Colina;38;53;0.9;14.8;562;;;271;0.3
2025-11-11;00:24;Movil Fontibon;39;0;;13.5;566;;;;
