Fecha;Hora;name;stationId;Temperatura 8M;Dir Viento;Lluvia;Rad Solar;Presion Baro;Temperatura;Humedad;Vel Viento
2025-11-12;00:24;Usaquen;1;;128.0;0.0;;;13.9;;1.3
2025-11-12;00:24;Carvajal - Sevillana;3;;51.0;0.0;;;14.2;;1.5
2025-11-12;00:24;Tunal;4;;251.0;0.0;1.0;564.0;;78.0;0.6
2025-11-12;00:24;Centro de Alto Rendimiento;5;;321.0;0.0;0.0;565.0;10.2;87.0;0.4
2025-11-12;00:24;Las Ferias;6;;229.0;0.0;;564.0;14.2;70.0;1.3
2025-11-12;00:24;Guaymaral;8;12.9;337.0;0.0;0.0;564.0;12.9;77.0;0.8
2025-11-12;00:24;Kennedy;9;;174.0;0.0;615.0;;;46.2;1.7
2025-11-12;00:24;Suba;11;;325.0;0.0;;;12.1;;0.4
2025-11-12;00:24;Puente Aranda;13;;254.0;0.0;0.0;564.0;14.7;90.0;1.7
2025-11-12;00:24;MinAmbiente;17;;-9999.0;0.0;;;;;-9999.0
2025-11-12;00:24;San Cristobal;24;;110.0;0.0;0.0;;12.1;76.0;1.3
2025-11-12;00:24;Movil 7ma;26;;328.0;0.0;0.0;563.0;15.3;61.8;0.3
2025-11-12;00:24;Bolivia;27;;284.0;0.0;0.0;565.0;13.2;85.0;1.1
2025-11-12;00:24;Fontibon;30;;264.0;0.0;;565.0;13.6;79.0;1.8
2025-11-12;00:24;Usme;32;;;0.0;0.0;563.0;14.2;;
2025-11-12;00:24;Jazmin;34;;277.0;0.0;0.0;564.0;14.8;83.0;0.9
2025-11-12;00:24;Ciudad Bolivar;37;;;0.0;0.0;558.0;13.7;;
2025-11-12;00:24;Colina;38;;271.0;0.3;53.0;562.0;14.8;;0.9
2025-11-12;00:24;Movil Fontibon;39;;;;0.0;565.0;13.7;;
2025-11-12;01:36;Usaquen;1;;130.0;0.0;;;13.3;;0.9
2025-11-12;01:36;Carvajal - Sevillana;3;;58.0;0.0;;;13.9;;1.4
2025-11-12;01:36;Tunal;4;;310.0;0.0;1.0;563.0;;78.0;0.8
2025-11-12;01:36;Centro de Alto Rendimiento;5;;268.0;0.0;0.0;565.0;9.9;87.0;0.2
2025-11-12;01:36;Las Ferias;6;;319.0;0.0;;564.0;13.8;74.0;0.6
2025-11-12;01:36;Guaymaral;8;12.1;302.0;0.0;0.0;564.0;12.1;79.0;0.4
2025-11-12;01:36;Kennedy;9;;174.0;0.0;615.0;;;46.2;1.7
2025-11-12;01:36;Suba;11;;356.0;0.0;;;11.8;;0.5
2025-11-12;01:36;Puente Aranda;13;;277.0;0.0;0.0;564.0;14.5;88.0;1.1
2025-11-12;01:36;MinAmbiente;17;;-9999.0;0.0;;;;;-9999.0
2025-11-12;01:36;San Cristobal;24;;106.0;0.0;0.0;;11.9;77.0;1.1
2025-11-12;01:36;Movil 7ma;26;;177.0;0.0;0.0;563.0;14.8;63.3;0.5
2025-11-12;01:36;Bolivia;27;;33.0;0.0;0.0;565.0;13.3;86.0;0.8
2025-11-12;01:36;Fontibon;30;;315.0;0.0;;565.0;13.2;83.0;0.5
2025-11-12;01:36;Usme;32;;;0.0;0.0;562.0;13.8;;
2025-11-12;01:36;Jazmin;34;;309.0;0.0;0.0;564.0;14.2;89.0;0.9
2025-11-12;01:36;Ciudad Bolivar;37;;;0.0;0.0;558.0;13.2;;
2025-11-12;01:36;Colina;38;;271.0;0.3;53.0;562.0;14.8;;0.9
2025-11-12;01:36;Movil Fontibon;39;;;;0.0;565.0;13.5;;
2025-11-12;02:23;Usaquen;1;;123.0;0.0;;;12.9;;0.7
2025-11-12;02:23;Carvajal - Sevillana;3;;52.0;0.0;;;14.0;;1.4
2025-11-12;02:23;Tunal;4;;314.0;0.0;1.0;563.0;;77.0;0.9
2025-11-12;02:23;Centro de Alto Rendimiento;5;;265.0;0.0;0.0;565.0;9.8;87.0;0.4
2025-11-12;02:23;Las Ferias;6;;333.0;0.0;;564.0;13.4;75.0;0.8
2025-11-12;02:23;Guaymaral;8;11.8;323.0;0.0;0.0;564.0;11.8;81.0;0.6
2025-11-12;02:23;Kennedy;9;;174.0;0.0;615.0;;;46.2;1.7
2025-11-12;02:23;Suba;11;;35.0;0.0;;;11.7;;0.7
2025-11-12;02:23;Puente Aranda;13;;258.0;0.0;0.0;564.0;14.1;89.0;1.1
2025-11-12;02:23;MinAmbiente;17;;-9999.0;0.0;;;;;-9999.0
2025-11-12;02:23;San Cristobal;24;;101.0;0.0;0.0;;12.0;76.0;0.5
2025-11-12;02:23;Movil 7ma;26;;176.0;0.0;0.0;562.0;14.2;64.1;0.5
2025-11-12;02:23;Bolivia;27;;304.0;0.0;0.0;565.0;12.9;86.0;1.1
2025-11-12;02:23;Fontibon;30;;258.0;0.0;;565.0;12.9;85.0;1.4
2025-11-12;02:23;Usme;32;;;0.0;0.0;562.0;13.4;;
2025-11-12;02:23;Jazmin;34;;301.0;0.0;0.0;564.0;14.1;87.0;0.8
2025-11-12;02:23;Ciudad Bolivar;37;;;0.0;0.0;557.0;13.2;;
2025-11-12;02:23;Colina;38;;271.0;0.3;53.0;562.0;14.8;;0.9
2025-11-12;02:23;Movil Fontibon;39;;;;0.0;565.0;13.2;;
2025-11-12;03:33;Usaquen;1;;152.0;0.0;;;12.0;;0.8
2025-11-12;03:33;Carvajal - Sevillana;3;;52.0;0.0;;;13.7;;1.0
2025-11-12;03:33;Tunal;4;;234.0;0.0;1.0;563.0;;76.0;0.5
2025-11-12;03:33;Centro de Alto Rendimiento;5;;330.0;0.0;0.0;565.0;9.4;88.0;0.4
2025-11-12;03:33;Las Ferias;6;;246.0;0.0;;564.0;13.0;77.0;1.4
2025-11-12;03:33;Guaymaral;8;11.0;280.0;0.0;0.0;564.0;11.0;81.0;0.4
2025-11-12;03:33;Kennedy;9;;174.0;0.0;615.0;;;46.2;1.7
2025-11-12;03:33;Suba;11;;47.0;0.0;;;11.2;;0.4
