Fecha;Hora;name;stationId;Temperatura 8M;Humedad;Temperatura;Dir Viento;Lluvia;Rad Solar;Presion Baro;Vel Viento
2025-11-13;00:24;Usaquen;1;;;14.0;98.0;0.0;;;2.1
2025-11-13;00:24;Carvajal - Sevillana;3;;;14.1;242.0;0.0;;;1.9
2025-11-13;00:24;Tunal;4;;88.0;;181.0;0.0;1.0;563.0;0.8
2025-11-13;00:24;Centro de Alto Rendimiento;5;;88.0;11.1;306.0;0.0;0.0;565.0;0.2
2025-11-13;00:24;Las Ferias;6;;75.0;13.7;7.0;0.0;;564.0;1.0
2025-11-13;00:24;Guaymaral;8;13.4;79.0;13.4;277.0;0.0;0.0;564.0;0.8
2025-11-13;00:24;Kennedy;9;;46.2;;174.0;0.0;615.0;;1.7
2025-11-13;00:24;Suba;11;;;13.0;27.0;0.0;;;0.6
2025-11-13;00:24;Puente Aranda;13;;84.0;14.5;210.0;0.0;0.0;564.0;1.0
2025-11-13;00:24;MinAmbiente;17;;;;-9999.0;0.0;;;-9999.0
2025-11-13;00:24;San Cristobal;24;;83.0;11.6;93.0;0.0;0.0;;0.8
2025-11-13;00:24;Movil 7ma;26;;63.7;15.0;274.0;0.0;0.0;562.0;0.5
2025-11-13;00:24;Bolivia;27;;91.0;13.9;346.0;0.0;0.0;565.0;0.7
2025-11-13;00:24;Fontibon;30;;89.0;13.7;199.0;0.0;;565.0;0.3
2025-11-13;00:24;Usme;32;;;13.6;;0.0;0.0;562.0;
2025-11-13;00:24;Jazmin;34;;90.0;14.0;240.0;0.0;0.0;564.0;0.4
2025-11-13;00:24;Ciudad Bolivar;37;;;13.1;;0.0;0.0;557.0;
2025-11-13;00:24;Colina;38;;;14.8;271.0;0.3;53.0;562.0;0.9
2025-11-13;00:24;Movil Fontibon;39;;;14.0;;;1.0;565.0;
2025-11-13;01:36;Usaquen;1;;;13.6;121.0;0.0;;;1.7
2025-11-13;01:36;Carvajal - Sevillana;3;;;14.5;246.0;0.0;;;1.8
2025-11-13;01:36;Tunal;4;;86.0;;204.0;0.0;1.0;563.0;0.6
2025-11-13;01:36;Centro de Alto Rendimiento;5;;88.0;10.8;92.0;0.0;0.0;565.0;0.7
2025-11-13;01:36;Las Ferias;6;;72.0;14.0;56.0;0.0;;564.0;1.3
2025-11-13;01:36;Guaymaral;8;13.7;76.0;13.7;284.0;0.0;0.0;564.0;0.5
2025-11-13;01:36;Kennedy;9;;46.2;;174.0;0.0;615.0;;1.7
2025-11-13;01:36;Suba;11;;;12.7;21.0;0.0;;;0.5
2025-11-13;01:36;Puente Aranda;13;;84.0;14.7;213.0;0.1;0.0;563.0;1.1
2025-11-13;01:36;MinAmbiente;17;;;;-9999.0;0.0;;;-9999.0
2025-11-13;01:36;San Cristobal;24;;82.0;11.9;86.0;0.0;0.0;;1.0
2025-11-13;01:36;Movil 7ma;26;;62.2;15.0;170.0;0.0;0.0;562.0;0.7
2025-11-13;01:36;Bolivia;27;;87.0;14.0;350.0;0.0;0.0;565.0;0.7
2025-11-13;01:36;Fontibon;30;;84.0;13.8;222.0;0.0;;564.0;0.7
2025-11-13;01:36;Usme;32;;;14.0;;0.0;0.0;562.0;
2025-11-13;01:36;Jazmin;34;;86.0;14.4;237.0;0.0;0.0;564.0;0.6
2025-11-13;01:36;Ciudad Bolivar;37;;;13.4;;0.0;0.0;557.0;
2025-11-13;01:36;Colina;38;;;14.8;271.0;0.3;53.0;562.0;0.9
2025-11-13;01:36;Movil Fontibon;39;;;14.1;;;1.0;564.0;
2025-11-13;02:23;Usaquen;1;;;13.4;344.0;0.0;;;0.5
2025-11-13;02:23;Carvajal - Sevillana;3;;;14.4;243.0;0.0;;;1.3
2025-11-13;02:23;Tunal;4;;86.0;;182.0;0.0;1.0;563.0;0.5
2025-11-13;02:23;Centro de Alto Rendimiento;5;;88.0;10.8;21.0;0.0;0.0;564.0;0.3
2025-11-13;02:23;Las Ferias;6;;71.0;14.0;45.0;0.0;;563.0;1.6
2025-11-13;02:23;Guaymaral;8;13.5;76.0;13.5;209.0;0.0;0.0;563.0;0.6
2025-11-13;02:23;Kennedy;9;;46.2;;174.0;0.0;615.0;;1.7
2025-11-13;02:23;Suba;11;;;12.7;37.0;0.0;;;0.4
2025-11-13;02:23;Puente Aranda;13;;83.0;14.8;246.0;0.0;0.0;563.0;0.7
2025-11-13;02:23;MinAmbiente;17;;;;-9999.0;0.0;;;-9999.0
2025-11-13;02:23;San Cristobal;24;;81.0;12.0;90.0;0.0;0.0;;1.1
2025-11-13;02:23;Movil 7ma;26;;62.1;14.8;282.0;0.0;0.0;562.0;0.5
2025-11-13;02:23;Bolivia;27;;86.0;14.0;327.0;0.0;0.0;564.0;1.0
2025-11-13;02:23;Fontibon;30;;84.0;13.8;4.0;0.0;;564.0;0.7
2025-11-13;02:23;Usme;32;;;14.1;;0.0;0.0;562.0;
2025-11-13;02:23;Jazmin;34;;89.0;14.1;254.0;0.0;0.0;563.0;0.3
2025-11-13;02:23;Ciudad Bolivar;37;;;13.3;;0.0;0.0;557.0;
2025-11-13;02:23;Colina;38;;;14.8;271.0;0.3;53.0;562.0;0.9
2025-11-13;02:23;Movil Fontibon;39;;;14.2;;;1.0;564.0;
2025-11-13;03:32;Usaquen;1;;;13.4;45.0;0.0;;;0.6
2025-11-13;03:32;Carvajal - Sevillana;3;;;14.0;56.0;0.0;;;0.8
2025-11-13;03:32;Tunal;4;;85.0;;199.0;0.0;1.0;562.0;0.5
2025-11-13;03:32;Centro de Alto Rendimiento;5;;88.0;10.6;267.0;0.0;0.0;564.0;0.3
2025-11-13;03:32;Las Ferias;6;;71.0;13.8;4.0;0.0;;563.0;1.6
2025-11-13;03:32;Guaymaral;8;12.9;76.0;13.0;311.0;0.0;0.0;563.0;0.6
2025-11-13;03:32;Kennedy;9;;46.2;;174.0;0.0;615.0;;1.7
2025-11-13;03:32;Suba;11;;;12.6;10.0;0.0;;;0.6
2025-11-13;03:32;Puente Aranda;13;;89.0;14.4;250.0;0.0;0.0;563.0;0.9
2025-11-13;03:32;MinAmbiente;17;;;;-9999.0;0.0;;;-9999.0
2025-11-13;03:32;San Cristobal;24;;82.0;11.7;105.0;0.0;0.0;;1.3
2025-11-13;03:32;Movil 7ma;26;;58.3;14.8;169.0;0.0;0.0;561.0;0.5
2025-11-13;03:32;Bolivia;27;;88.0;13.7;8.0;0.0;0.0;564.0;1.0
2025-11-13;03:32;Fontibon;30;;88.0;13.3;331.0;0.0;;564.0;1.0
2025-11-13;03:32;Usme;32;;;13.9;;0.0;0.0;561.0;
2025-11-13;03:32;Jazmin;34;;91.0;13.9;304.0;0.0;0.0;563.0;0.7
2025-11-13;03:32;Ciudad Bolivar;37;;;12.9;;0.0;0.0;557.0;
2025-11-13;03:32;Colina;38;;;14.8;271.0;0.3;53.0;562.0;0.9
2025-11-13;03:32;Movil Fontibon;39;;;14.0;;;1.0;564.0;
2025-11-13;04:27;Usaquen;1;;;13.3;146.0;0.0;;;1.2
2025-11-13;04:27;Carvajal - Sevillana;3;;;13.7;161.0;0.0;;;0.3
2025-11-13;04:27;Tunal;4;;84.0;;169.0;0.0;1.0;562.0;0.7
2025-11-13;04:27;Centro de Alto Rendimiento;5;;88.0;10.5;109.0;0.0;0.0;564.0;0.3
2025-11-13;04:27;Las Ferias;6;;69.0;13.8;41.0;0.0;;563.0;1.7
2025-11-13;04:27;Guaymaral;8;12.9;78.0;12.9;145.0;0.0;0.0;563.0;0.8
2025-11-13;04:27;Kennedy;9;;46.2;;174.0;0.0;615.0;;1.7
2025-11-13;04:27;Suba;11;;;12.4;65.0;0.0;;;0.7
2025-11-13;04:27;Puente Aranda;13;;94.0;14.2;219.0;0.0;0.0;563.0;0.6
2025-11-13;04:27;MinAmbiente;17;;;;-9999.0;0.0;;;-9999.0
2025-11-13;04:27;San Cristobal;24;;80.0;11.5;104.0;0.0;0.0;;1.6
2025-11-13;04:27;Movil 7ma;26;;59.2;14.6;251.0;0.0;0.0;561.0;0.5
2025-11-13;04:27;Bolivia;27;;86.0;13.9;87.0;0.0;0.0;564.0;1.1
2025-11-13;04:27;Fontibon;30;;89.0;13.3;55.0;0.0;;564.0;0.4
2025-11-13;04:27;Usme;32;;;13.5;;0.0;0.0;561.0;
2025-11-13;04:27;Jazmin;34;;92.0;13.9;264.0;0.0;0.0;563.0;0.3
2025-11-13;04:27;Ciudad Bolivar;37;;;12.7;;0.0;0.0;556.0;
2025-11-13;04:27;Colina;38;;;14.8;271.0;0.3;53.0;562.0;0.9
2025-11-13;04:27;Movil Fontibon;39;;;14.1;;;1.0;564.0;
2025-11-13;05:27;Usaquen;1;;;13.1;135.0;0.0;;;1.6
2025-11-13;05:27;Carvajal - Sevillana;3;;;14.0;253.0;0.0;;;1.0
2025-11-13;05:27;Tunal;4;;84.0;;218.0;0.0;1.0;562.0;0.4
2025-11-13;05:27;Centro de Alto Rendimiento;5;;87.0;10.2;94.0;0.0;0.0;564.0;0.3
2025-11-13;05:27;Las Ferias;6;;69.0;13.5;41.0;0.0;;563.0;1.3
2025-11-13;05:27;Guaymaral;8;12.9;75.0;12.9;127.0;0.0;0.0;563.0;1.1
2025-11-13;05:27;Kennedy;9;;46.2;;174.0;0.0;615.0;;1.7
2025-11-13;05:27;Suba;11;;;12.0;24.0;0.0;;;0.9
2025-11-13;05:27;Puente Aranda;13;;85.0;14.5;217.0;0.0;0.0;563.0;0.8
2025-11-13;05:27;MinAmbiente;17;;;;-9999.0;0.0;;;-9999.0
2025-11-13;05:27;San Cristobal;24;;80.0;11.4;116.0;0.0;0.0;;1.0
2025-11-13;05:27;Movil 7ma;26;;59.8;14.6;260.0;0.0;0.0;561.0;0.6
2025-11-13;05:27;Bolivia;27;;86.0;13.4;29.0;0.0;0.0;564.0;1.2
2025-11-13;05:27;Fontibon;30;;87.0;13.3;296.0;0.0;;564.0;0.8
2025-11-13;05:27;Usme;32;;;13.5;;0.0;0.0;561.0;
2025-11-13;05:27;Jazmin;34;;90.0;13.8;224.0;0.0;0.0;563.0;0.4
2025-11-13;05:27;Ciudad Bolivar;37;;;12.7;;0.0;0.0;556.0;
2025-11-13;05:27;Colina;38;;;14.8;271.0;0.3;53.0;562.0;0.9
2025-11-13;05:27;Movil Fontibon;39;;;13.5;;;0.0;564.0;
2025-11-13;06:21;Usaquen;1;;;13.1;220.0;0.0;;;0.3
2025-11-13;06:21;Carvajal - Sevillana;3;;;14.0;238.0;0.0;;;1.7
2025-11-13;06:21;Tunal;4;;84.0;;186.0;0.0;10.0;563.0;0.9
2025-11-13;06:21;Centro de Alto Rendimiento;5;;87.0;10.0;299.0;0.0;6.0;564.0;0.4
2025-11-13;06:21;Las Ferias;6;;68.0;13.6;9.0;0.0;;563.0;1.1
2025-11-13;06:21;Guaymaral;8;13.1;75.0;13.1;144.0;0.0;0.0;563.0;0.9
2025-11-13;06:21;Kennedy;9;;46.2;;174.0;0.0;615.0;;1.7
2025-11-13;06:21;Suba;11;;;12.2;48.0;0.0;;;1.3
2025-11-13;06:21;Puente Aranda;13;;92.0;14.1;242.0;0.0;7.0;563.0;1.0
2025-11-13;06:21;MinAmbiente;17;;;;-9999.0;0.0;;;-9999.0
2025-11-13;06:21;San Cristobal;24;;82.0;11.2;104.0;0.0;4.0;;0.9
2025-11-13;06:21;Movil 7ma;26;;59.9;14.5;294.0;0.0;6.0;562.0;0.5
2025-11-13;06:21;Bolivia;27;;83.0;13.4;53.0;0.0;7.0;564.0;1.6
2025-11-13;06:21;Fontibon;30;;90.0;12.6;262.0;0.0;;564.0;1.2
2025-11-13;06:21;Usme;32;;;13.4;;0.0;7.0;562.0;
2025-11-13;06:21;Jazmin;34;;87.0;13.8;237.0;0.0;9.0;563.0;0.5
2025-11-13;06:21;Ciudad Bolivar;37;;;12.9;;0.0;5.0;557.0;
2025-11-13;06:21;Colina;38;;;14.8;271.0;0.3;53.0;562.0;0.9
