Fecha;Hora;name;stationId;Temperatura 8M;Humedad;Vel Viento;Dir Viento;Temperatura;Lluvia;Rad Solar;Presion Baro
2025-11-14;00:23;Usaquen;1;;;0.8;218;14.2;0;;
2025-11-14;00:23;Carvajal - Sevillana;3;;;1.9;232;14.6;0;;
2025-11-14;00:23;Tunal;4;;83;0.8;163;;0;1;563
2025-11-14;00:23;Centro de Alto Rendimiento;5;;86;0.3;174;11.8;0;0;565
2025-11-14;00:23;Las Ferias;6;;79;0.4;245;13.9;0;;564
2025-11-14;00:23;Guaymaral;8;13.1;80;0.6;24;13.2;0;0;564
2025-11-14;00:23;Kennedy;9;;46.2;1.7;174;;0;615;
2025-11-14;00:23;Suba;11;;;0.6;345;12.9;0;;
2025-11-14;00:23;Puente Aranda;13;;94;1;177;14.7;0;0;564
2025-11-14;00:23;MinAmbiente;17;;;-9999;-9999;;0;;
2025-11-14;00:23;San Cristobal;24;;90;1.3;102;11.9;0;0;
2025-11-14;00:23;Movil 7ma;26;;67.2;0.6;258;-55;0;0;562
2025-11-14;00:23;Bolivia;27;;92;0.8;327;13.6;0;0;565
2025-11-14;00:23;Fontibon;30;;84;0.1;26;14;0;;565
2025-11-14;00:23;Usme;32;;;;;13.9;0;0;562
2025-11-14;00:23;Jazmin;34;;92;0.6;177;14.6;0;0;564
2025-11-14;00:23;Ciudad Bolivar;37;;;;;13.9;0;0;558
2025-11-14;00:23;Colina;38;;;0.9;271;14.8;0.3;53;562
2025-11-14;00:23;Movil Fontibon;39;;;;;14.5;;0;565
