Fecha;Hora;name;stationId;Rad Solar;Vel Viento;Lluvia;Dir Viento;Temperatura 8M;Humedad;Temperatura;Presion Baro
2025-11-15;00:22;Usaquen;1;;0.7;0.0;56.0;;;13.9;
2025-11-15;00:22;Carvajal - Sevillana;3;;0.7;0.0;61.0;;;14.1;
2025-11-15;00:22;Tunal;4;1.0;0.5;0.0;230.0;;81.0;;563.0
2025-11-15;00:22;Centro de Alto Rendimiento;5;0.0;0.4;0.0;34.0;;87.0;11.4;565.0
2025-11-15;00:22;Las Ferias;6;;0.9;0.0;217.0;;74.0;14.1;564.0
2025-11-15;00:22;Guaymaral;8;0.0;0.4;0.0;327.0;12.7;81.0;12.7;564.0
2025-11-15;00:22;Kennedy;9;0.0;1.0;0.0;288.0;;84.2;;
2025-11-15;00:22;Suba;11;;0.4;0.0;38.0;;;13.0;
2025-11-15;00:22;Puente Aranda;13;0.0;1.3;0.0;250.0;;91.0;14.4;564.0
2025-11-15;00:22;MinAmbiente;17;;-9999.0;0.0;-9999.0;;;;
2025-11-15;00:22;San Cristobal;24;0.0;1.2;0.0;109.0;;80.0;12.3;
2025-11-15;00:22;Movil 7ma;26;0.0;0.4;0.0;94.0;;71.8;-53.2;562.0
2025-11-15;00:22;Bolivia;27;0.0;0.8;0.0;332.0;;92.0;13.9;565.0
2025-11-15;00:22;Fontibon;30;;0.7;0.0;246.0;;85.0;13.6;565.0
2025-11-15;00:22;Usme;32;0.0;;0.0;;;;13.2;562.0
2025-11-15;00:22;Jazmin;34;0.0;0.4;0.0;285.0;;92.0;14.3;564.0
2025-11-15;00:22;Ciudad Bolivar;37;0.0;;0.0;;;;13.4;557.0
2025-11-15;00:22;Colina;38;53.0;0.9;0.3;271.0;;;14.8;562.0
2025-11-15;00:22;Movil Fontibon;39;1.0;;;;;;14.0;565.0
2025-11-15;01:32;Usaquen;1;;0.7;0;5;;;13.9;
2025-11-15;01:32;Carvajal - Sevillana;3;;0.7;0;237;;;14.2;
2025-11-15;01:32;Tunal;4;1;0.3;0;221;;80;;563
2025-11-15;01:32;Centro de Alto Rendimiento;5;0;0.1;0;286;;87;11.3;565
2025-11-15;01:32;Las Ferias;6;;0.7;0;348;;80;13.9;563
2025-11-15;01:32;Guaymaral;8;0;0.4;0;272;12.5;82;12.5;563
2025-11-15;01:32;Kennedy;9;0;1;0.1;324;;84.2;;
2025-11-15;01:32;Suba;11;;0.4;0;14;;;13;
2025-11-15;01:32;Puente Aranda;13;0;1.3;0;274;;92;14.3;563
2025-11-15;01:32;MinAmbiente;17;;-9999;0;-9999;;;;
2025-11-15;01:32;San Cristobal;24;0;1.3;0;109;;81;12.3;
2025-11-15;01:32;Movil 7ma;26;0;0.4;0;88;;70.9;-16;562
2025-11-15;01:32;Bolivia;27;0;0.8;0;333;;92;13.7;564
2025-11-15;01:32;Fontibon;30;;0.8;0;300;;87;13.6;564
2025-11-15;01:32;Usme;32;0;;0;;;;13.2;562
2025-11-15;01:32;Jazmin;34;0;0.7;0;303;;92;14.1;564
2025-11-15;01:32;Ciudad Bolivar;37;0;;0;;;;13.6;557
2025-11-15;01:32;Colina;38;53;0.9;0.3;271;;;14.8;562
2025-11-15;01:32;Movil Fontibon;39;1;;;;;;14;564
