Fecha;Hora;name;stationId;Lluvia;Vel Viento;Rad Solar;Temperatura;Presion Baro;Dir Viento;Temperatura 8M;Humedad
2025-11-19;13:35;Usaquen;1;0.0;0.6;;19.4;;110.0;;
2025-11-19;13:35;Carvajal - Sevillana;3;0.0;2.4;;20.5;;191.0;;
2025-11-19;13:35;Tunal;4;0.0;2.1;412.0;;563.0;137.0;;47.0
2025-11-19;13:35;Centro de Alto Rendimiento;5;0.0;0.8;333.0;17.7;565.0;202.0;;50.0
2025-11-19;13:35;Las Ferias;6;0.0;1.1;;21.7;563.0;95.0;;42.0
2025-11-19;13:35;Guaymaral;8;0.0;1.6;407.0;21.4;563.0;29.0;20.3;42.0
2025-11-19;13:35;Kennedy;9;0.0;1.7;383.0;;;112.0;;50.8
2025-11-19;13:35;Suba;11;0.0;1.7;;20.6;;54.0;;
2025-11-19;13:35;Puente Aranda;13;0.0;1.7;381.0;18.1;563.0;125.0;;57.0
2025-11-19;13:35;MinAmbiente;17;0.0;-9999.0;;;;-9999.0;;
2025-11-19;13:35;San Cristobal;24;0.0;2.6;484.0;17.8;;110.0;;54.0
2025-11-19;13:35;Movil 7ma;26;0.0;1.7;657.0;19.1;562.0;312.0;;43.4
2025-11-19;13:35;Bolivia;27;0.0;1.7;706.0;18.5;564.0;110.0;;61.0
2025-11-19;13:35;Fontibon;30;0.0;2.2;;19.4;564.0;108.0;;48.0
2025-11-19;13:35;Usme;32;0.0;;514.0;18.8;562.0;;;
2025-11-19;13:35;Jazmin;34;0.0;1.7;555.0;18.1;564.0;112.0;;55.0
2025-11-19;13:35;Ciudad Bolivar;37;0.0;;715.0;18.5;557.0;;;
2025-11-19;13:35;Colina;38;0.3;0.9;53.0;14.8;562.0;271.0;;
2025-11-19;13:35;Movil Fontibon;39;;;1046.0;19.3;564.0;;;
2025-11-19;14:19;Usaquen;1;0.0;1.5;;19.2;;38.0;;
2025-11-19;14:19;Carvajal - Sevillana;3;0.0;1.9;;21.4;;266.0;;
2025-11-19;14:19;Tunal;4;0.0;1.5;730.0;;562.0;189.0;;48.0
2025-11-19;14:19;Centro de Alto Rendimiento;5;0.0;0.1;212.0;18.5;564.0;88.0;;45.0
2025-11-19;14:19;Las Ferias;6;0.0;1.0;;20.3;563.0;13.0;;43.0
2025-11-19;14:19;Guaymaral;8;0.0;1.4;162.0;20.8;563.0;61.0;20.0;42.0
2025-11-19;14:19;Kennedy;9;0.1;1.5;883.0;;;212.0;;42.6
2025-11-19;14:19;Suba;11;0.0;2.1;;22.5;;78.0;;
2025-11-19;14:19;Puente Aranda;13;0.0;1.8;555.0;19.7;563.0;165.0;;48.0
2025-11-19;14:19;MinAmbiente;17;0.0;-9999.0;;;;-9999.0;;
2025-11-19;14:19;San Cristobal;24;0.0;2.0;570.0;20.3;;138.0;;46.0
2025-11-19;14:19;Movil 7ma;26;0.0;0.9;277.0;21.2;561.0;197.0;;37.7
2025-11-19;14:19;Bolivia;27;0.0;1.8;395.0;19.3;564.0;116.0;;56.0
2025-11-19;14:19;Fontibon;30;0.0;1.3;;20.7;563.0;140.0;;41.0
2025-11-19;14:19;Usme;32;0.0;;383.0;19.1;561.0;;;
2025-11-19;14:19;Jazmin;34;0.0;1.8;653.0;20.1;563.0;144.0;;46.0
2025-11-19;14:19;Ciudad Bolivar;37;0.0;;666.0;19.0;556.0;;;
2025-11-19;14:19;Colina;38;0.3;0.9;53.0;14.8;562.0;271.0;;
2025-11-19;14:19;Movil Fontibon;39;;;665.0;20.7;564.0;;;
2025-11-19;15:24;Usaquen;1;0.0;1.6;;18.1;;100.0;;
2025-11-19;15:24;Carvajal - Sevillana;3;0.0;1.5;;22.8;;208.0;;
2025-11-19;15:24;Tunal;4;0.0;2.1;459.0;;562.0;246.0;;38.0
2025-11-19;15:24;Centro de Alto Rendimiento;5;0.0;1.2;128.0;17.5;563.0;61.0;;49.0
2025-11-19;15:24;Las Ferias;6;0.0;3.0;;19.0;562.0;30.0;;49.0
