Fecha;Hora;name;stationId;Temperatura 8M;Dir Viento;Presion Baro;Humedad;Temperatura;Vel Viento;Rad Solar;Lluvia
2025-11-24;10:28;Usaquen;1;;161.0;;;16.4;1.5;;0.0
2025-11-24;10:28;Carvajal - Sevillana;3;;258.0;;;18.2;3.1;;0.0
2025-11-24;10:28;Tunal;4;;197.0;563.0;56.0;;1.2;345.0;0.0
2025-11-24;10:28;Centro de Alto Rendimiento;5;;108.0;564.0;52.0;16.5;1.1;266.0;0.0
2025-11-24;10:28;Las Ferias;6;;62.0;564.0;47.0;18.8;1.1;;0.0
2025-11-24;10:28;Guaymaral;8;16.7;100.0;564.0;60.0;17.3;1.4;214.0;0.0
2025-11-24;10:28;Kennedy;9;;174.0;;54.3;;1.1;341.0;0.0
2025-11-24;10:28;Suba;11;;9.0;;;16.7;2.4;;0.0
2025-11-24;10:28;Puente Aranda;13;;231.0;563.0;63.0;17.0;1.4;264.0;0.0
2025-11-24;10:28;MinAmbiente;17;;-9999.0;;;;-9999.0;;0.0
2025-11-24;10:28;San Cristobal;24;;130.0;;57.0;15.9;1.4;198.0;0.0
2025-11-24;10:28;Movil 7ma;26;;344.0;562.0;48.5;10.0;0.5;291.0;0.0
2025-11-24;10:28;Bolivia;27;;46.0;565.0;74.0;16.0;2.1;395.0;0.0
2025-11-24;10:28;Fontibon;30;;172.0;564.0;55.0;17.6;0.8;;0.0
2025-11-24;10:28;Usme;32;;;562.0;;16.3;;239.0;0.0
2025-11-24;10:28;Jazmin;34;;196.0;564.0;54.0;17.6;1.5;334.0;0.0
2025-11-24;10:28;Ciudad Bolivar;37;;;557.0;;16.1;;303.0;0.0
2025-11-24;10:28;Colina;38;;271.0;562.0;;14.8;0.9;53.0;0.3
2025-11-24;10:28;Movil Fontibon;39;;;564.0;;17.3;;393.0;
2025-11-24;11:28;Usaquen;1;;174;;;19.3;1;;0
2025-11-24;11:28;Carvajal - Sevillana;3;;268;;;18.8;2.6;;0
2025-11-24;11:28;Tunal;4;;206;563;52;;1.3;382;0
2025-11-24;11:28;Centro de Alto Rendimiento;5;;352;564;48;17.9;0.6;350;0
2025-11-24;11:28;Las Ferias;6;;47;563;44;20.1;1.1;;0
2025-11-24;11:28;Guaymaral;8;19;340;563;52;20.1;1.4;413;0
2025-11-24;11:28;Kennedy;9;;198;;46.9;;1.7;321;0
2025-11-24;11:28;Suba;11;;358;;;19.2;1.5;;0
2025-11-24;11:28;Puente Aranda;13;;203;563;55;17.8;2.1;311;0
2025-11-24;11:28;MinAmbiente;17;;-9999;;;;-9999;;0
2025-11-24;11:28;San Cristobal;24;;188;;51;17.9;0.8;292;0
2025-11-24;11:28;Movil 7ma;26;;290;562;43.2;8.9;0.5;405;0
2025-11-24;11:28;Bolivia;27;;73;564;66;17.3;2;466;0
2025-11-24;11:28;Fontibon;30;;161;564;48;18.6;0.7;;0
2025-11-24;11:28;Usme;32;;;562;;17.2;;385;0
2025-11-24;11:28;Jazmin;34;;216;563;52;18.4;1.5;399;0
2025-11-24;11:28;Ciudad Bolivar;37;;;557;;16.5;;262;0
2025-11-24;11:28;Colina;38;;271;562;;14.8;0.9;53;0.3
2025-11-24;11:28;Movil Fontibon;39;;;564;;18.1;;329;
