Fecha;Hora;name;stationId;Dir Viento;Vel Viento;Temperatura 8M;Humedad;Rad Solar;Lluvia;Presion Baro;Temperatura
2025-11-26;00:24;Usaquen;1;43;0.8;;;;0;;13.1
2025-11-26;00:24;Carvajal - Sevillana;3;225;1.2;;;;0;;15.8
2025-11-26;00:24;Tunal;4;155;1.1;;64;1;0;563;
2025-11-26;00:24;Centro de Alto Rendimiento;5;32;1.5;;72;0;0;565;11.5
2025-11-26;00:24;Las Ferias;6;3;1.5;;67;;0;564;13.6
2025-11-26;00:24;Guaymaral;8;320;0.5;11.1;80;0;0;564;11
2025-11-26;00:24;Kennedy;9;15;1;;70.8;0;0;;
2025-11-26;00:24;Suba;11;18;1;;;;0;;11.5
2025-11-26;00:24;Puente Aranda;13;338;1.1;;67;0;0;563;15.9
2025-11-26;00:24;MinAmbiente;17;-9999;-9999;;;;0;;
2025-11-26;00:24;San Cristobal;24;170;1.7;;67;0;0;;13.4
2025-11-26;00:24;Movil 7ma;26;121;0.3;;53.1;0;0;562;15.5
2025-11-26;00:24;Bolivia;27;40;1.7;;82;0;0;565;13.4
2025-11-26;00:24;Fontibon;30;34;2.8;;76;;0;564;13.6
2025-11-26;00:24;Usme;32;;;;;0;0;562;14.6
2025-11-26;00:24;Jazmin;34;297;0.7;;63;0;0;564;15.5
2025-11-26;00:24;Ciudad Bolivar;37;;;;;0;0;557;14.3
2025-11-26;00:24;Colina;38;271;0.9;;;53;0.3;562;14.8
2025-11-26;00:24;Movil Fontibon;39;;;;;0;;565;14.4
