Fecha;Hora;name;stationId;Vel Viento;Dir Viento;Presion Baro;Humedad;Lluvia;Temperatura 8M;Rad Solar;Temperatura
2025-11-30;00:24;Usaquen;1;0.8;356.0;;;0.0;;;12.4
2025-11-30;00:24;Carvajal - Sevillana;3;1.2;61.0;;;0.0;;;14.1
2025-11-30;00:24;Tunal;4;0.3;235.0;563.0;83.0;0.0;;1.0;
2025-11-30;00:24;Centro de Alto Rendimiento;5;0.6;269.0;565.0;87.0;0.0;;0.0;12.4
2025-11-30;00:24;Las Ferias;6;1.1;357.0;564.0;77.0;0.0;;;13.5
2025-11-30;00:24;Guaymaral;8;0.4;333.0;564.0;83.0;0.0;11.8;0.0;12.1
2025-11-30;00:24;Kennedy;9;0.7;350.0;;83.4;0.0;;0.0;
2025-11-30;00:24;Suba;11;0.8;43.0;;;0.0;;;12.2
2025-11-30;00:24;Puente Aranda;13;1.1;268.0;564.0;87.0;0.0;;0.0;14.3
2025-11-30;00:24;MinAmbiente;17;-9999.0;-9999.0;;;0.0;;;
2025-11-30;00:24;San Cristobal;24;1.3;110.0;;84.0;0.0;;0.0;11.7
2025-11-30;00:24;Movil 7ma;26;0.5;87.0;562.0;68.3;0.0;;0.0;11.5
2025-11-30;00:24;Bolivia;27;0.9;16.0;565.0;89.0;0.0;;0.0;13.3
2025-11-30;00:24;Fontibon;30;1.4;13.0;565.0;83.0;0.0;;;13.7
2025-11-30;00:24;Usme;32;;;562.0;;0.0;;0.0;12.8
2025-11-30;00:24;Jazmin;34;0.8;305.0;564.0;86.0;0.0;;0.0;14.3
2025-11-30;00:24;Ciudad Bolivar;37;;;558.0;;0.0;;0.0;13.0
2025-11-30;00:24;Colina;38;0.9;271.0;562.0;;0.3;;53.0;14.8
2025-11-30;00:24;Movil Fontibon;39;;;565.0;;;;0.0;13.6
2025-11-30;01:35;Usaquen;1;0.8;356.0;;;0.0;;;12.0
2025-11-30;01:35;Carvajal - Sevillana;3;1.1;238.0;;;0.0;;;14.0
2025-11-30;01:35;Tunal;4;0.4;218.0;563.0;84.0;0.0;;1.0;
2025-11-30;01:35;Centro de Alto Rendimiento;5;1.0;274.0;565.0;88.0;0.0;;0.0;12.4
2025-11-30;01:35;Las Ferias;6;0.3;15.0;564.0;79.0;0.0;;;12.9
2025-11-30;01:35;Guaymaral;8;0.6;223.0;564.0;84.0;0.0;11.5;0.0;11.5
2025-11-30;01:35;Kennedy;9;0.4;221.0;;84.1;0.0;;0.0;
2025-11-30;01:35;Suba;11;0.7;20.0;;;0.0;;;11.8
2025-11-30;01:35;Puente Aranda;13;1.0;229.0;564.0;89.0;0.0;;0.0;14.3
2025-11-30;01:35;MinAmbiente;17;-9999.0;-9999.0;;;0.0;;;
2025-11-30;01:35;San Cristobal;24;1.1;112.0;;83.0;0.0;;0.0;11.6
2025-11-30;01:35;Movil 7ma;26;0.5;315.0;562.0;69.4;0.0;;0.0;14.6
2025-11-30;01:35;Bolivia;27;0.7;57.0;565.0;88.0;0.0;;0.0;13.2
2025-11-30;01:35;Fontibon;30;0.7;238.0;564.0;85.0;0.0;;;13.3
2025-11-30;01:35;Usme;32;;;562.0;;0.0;;0.0;12.7
2025-11-30;01:35;Jazmin;34;0.5;251.0;564.0;86.0;0.0;;0.0;14.3
2025-11-30;01:35;Ciudad Bolivar;37;;;557.0;;0.0;;0.0;13.1
2025-11-30;01:35;Colina;38;0.9;271.0;562.0;;0.3;;53.0;14.8
2025-11-30;01:35;Movil Fontibon;39;;;565.0;;;;0.0;13.3
2025-11-30;02:21;Usaquen;1;0.3;145;;;0;;;11.5
2025-11-30;02:21;Carvajal - Sevillana;3;0.8;241;;;0;;;13.1
2025-11-30;02:21;Tunal;4;0.4;234;563;83;0;;1;
2025-11-30;02:21;Centro de Alto Rendimiento;5;0.5;346;564;89;0;;0;11.9
2025-11-30;02:21;Las Ferias;6;0.7;280;563;78;0;;;13.1
2025-11-30;02:21;Guaymaral;8;0.5;322;563;84;0;10.7;0;10.7
2025-11-30;02:21;Kennedy;9;0.7;334;;83.6;0;;0;
2025-11-30;02:21;Suba;11;0.5;27;;;0;;;11.2
2025-11-30;02:21;Puente Aranda;13;0.9;255;563;91;0;;0;14
2025-11-30;02:21;MinAmbiente;17;-9999;-9999;;;0;;;
2025-11-30;02:21;San Cristobal;24;1.6;106;;83;0;;0;10.8
2025-11-30;02:21;Movil 7ma;26;0.3;263;562;68;0;;0;14.2
2025-11-30;02:21;Bolivia;27;0.9;327;564;91;0;;0;12.2
2025-11-30;02:21;Fontibon;30;1.2;296;564;88;0;;;12.5
2025-11-30;02:21;Usme;32;;;562;;0;;0;12.2
2025-11-30;02:21;Jazmin;34;0.4;260;563;89;0;;0;13.5
2025-11-30;02:21;Ciudad Bolivar;37;;;557;;0;;0;12.2
2025-11-30;02:21;Colina;38;0.9;271;562;;0.3;;53;14.8
2025-11-30;02:21;Movil Fontibon;39;;;564;;;;0;12.9
