Fecha;Hora;name;stationId;Lluvia;Rad Solar;Presion Baro;Vel Viento;Temperatura 8M;Temperatura;Humedad;Dir Viento
2025-12-01;00:32;Usaquen;1;0;;;1.1;;11.5;;148
2025-12-01;00:32;Carvajal - Sevillana;3;0;;;0.6;;13.8;;281
2025-12-01;00:32;Tunal;4;0;1;563;0.4;;;81;233
2025-12-01;00:32;Centro de Alto Rendimiento;5;0;0;564;1.4;;11.8;89;198
2025-12-01;00:32;Las Ferias;6;0;;564;0.6;;12.6;76;27
2025-12-01;00:32;Guaymaral;8;0;0;563;0.5;10.4;10.5;85;308
2025-12-01;00:32;Kennedy;9;0;0;;1.1;;;81.2;278
2025-12-01;00:32;Suba;11;0;;;0.7;;10.7;;320
2025-12-01;00:32;Puente Aranda;13;0;0;563;1.2;;14.4;85;228
2025-12-01;00:32;MinAmbiente;17;0;;;-9999;;;;-9999
2025-12-01;00:32;San Cristobal;24;0;0;;1.7;;10.1;84;110
2025-12-01;00:32;Movil 7ma;26;0;0;562;0.4;;13.4;69.8;183
2025-12-01;00:32;Bolivia;27;0;0;565;0.9;;12.1;90;326
2025-12-01;00:32;Fontibon;30;0;;564;0.9;;13.1;80;331
2025-12-01;00:32;Usme;32;0.1;0;562;;;11.5;;
2025-12-01;00:32;Jazmin;34;0;0;564;0.6;;14.2;79;179
2025-12-01;00:32;Ciudad Bolivar;37;0;0;557;;;12.5;;
2025-12-01;00:32;Colina;38;0.3;53;562;0.9;;14.8;;271
2025-12-01;00:32;Movil Fontibon;39;;0;564;;;13.1;;
