Fecha;Hora;name;stationId;Dir Viento;Temperatura 8M;Temperatura;Lluvia;Humedad;Rad Solar;Presion Baro;Vel Viento
2025-12-03;00:25;Usaquen;1;147;;12.8;0;;;;0.8
2025-12-03;00:25;Carvajal - Sevillana;3;293;;13.3;0;;;;1
2025-12-03;00:25;Tunal;4;203;;;0;79;1;563;0.5
2025-12-03;00:25;Centro de Alto Rendimiento;5;236;;12.3;0;81;0;565;0.9
2025-12-03;00:25;Las Ferias;6;199;;12.6;0;75;;564;0.8
2025-12-03;00:25;Guaymaral;8;209;11.4;11.4;0;79;0;564;0.6
2025-12-03;00:25;Kennedy;9;202;;;0;77.4;0;;0.7
2025-12-03;00:25;Suba;11;50;;12;0;;;;0.3
2025-12-03;00:25;Puente Aranda;13;198;;14;0;88;0;563;0.9
2025-12-03;00:25;MinAmbiente;17;-9999;;;0;;;;-9999
2025-12-03;00:25;San Cristobal;24;101;;11.4;0;85;0;;0.5
2025-12-03;00:25;Movil 7ma;26;309;;14.3;0;65.8;0;562;0.6
2025-12-03;00:25;Bolivia;27;201;;12.4;0;92;0;565;0.4
2025-12-03;00:25;Fontibon;30;202;;12.8;0;84;;564;0.9
2025-12-03;00:25;Usme;32;;;13;0;;0;562;
2025-12-03;00:25;Jazmin;34;207;;13.6;0;89;0;564;0.4
2025-12-03;00:25;Ciudad Bolivar;37;;;12.4;0;;0;557;
2025-12-03;00:25;Colina;38;271;;14.8;0.3;;53;562;0.9
2025-12-03;00:25;Movil Fontibon;39;;;13.4;;;0;565;
