Fecha;Hora;name;stationId;Temperatura 8M;Vel Viento;Dir Viento;Presion Baro;Lluvia;Temperatura;Rad Solar;Humedad
2025-12-05;01:38;Usaquen;1;;0.9;180.0;;0.0;13.9;;
2025-12-05;01:38;Carvajal - Sevillana;3;;2.0;28.0;;0.0;14.5;;
2025-12-05;01:38;Tunal;4;;1.9;287.0;563.0;0.0;;1.0;78.0
2025-12-05;01:38;Centro de Alto Rendimiento;5;;2.4;304.0;565.0;0.0;13.9;0.0;81.0
2025-12-05;01:38;Las Ferias;6;;1.6;248.0;564.0;0.0;14.2;;70.0
2025-12-05;01:38;Guaymaral;8;12.6;0.7;296.0;563.0;0.0;12.9;0.0;80.0
2025-12-05;01:38;Kennedy;9;;1.6;309.0;;0.0;;0.0;82.6
2025-12-05;01:38;Suba;11;;0.6;313.0;;0.0;12.5;;
2025-12-05;01:38;Puente Aranda;13;;1.8;258.0;563.0;0.0;14.4;0.0;91.0
2025-12-05;01:38;MinAmbiente;17;;-9999.0;-9999.0;;0.0;;;
2025-12-05;01:38;San Cristobal;24;;0.5;107.0;;0.0;12.3;0.0;77.0
2025-12-05;01:38;Movil 7ma;26;;0.7;300.0;562.0;0.9;15.2;0.0;65.3
2025-12-05;01:38;Bolivia;27;;1.3;301.0;565.0;0.0;13.4;0.0;88.0
2025-12-05;01:38;Fontibon;30;;2.2;292.0;564.0;0.0;13.4;;84.0
2025-12-05;01:38;Usme;32;;;;562.0;0.0;14.1;0.0;
2025-12-05;01:38;Jazmin;34;;1.6;278.0;564.0;0.0;14.5;0.0;88.0
2025-12-05;01:38;Ciudad Bolivar;37;;;;557.0;0.0;12.9;0.0;
2025-12-05;01:38;Colina;38;;0.9;271.0;562.0;0.3;14.8;53.0;
2025-12-05;01:38;Movil Fontibon;39;;;;564.0;;13.8;1.0;
2025-12-05;02:25;Usaquen;1;;0.5;278.0;;3.5;13.4;;
2025-12-05;02:25;Carvajal - Sevillana;3;;1.6;20.0;;0.0;14.3;;
2025-12-05;02:25;Tunal;4;;1.4;291.0;563.0;0.0;;1.0;78.0
2025-12-05;02:25;Centro de Alto Rendimiento;5;;3.0;321.0;564.0;0.0;13.8;0.0;81.0
2025-12-05;02:25;Las Ferias;6;;2.8;237.0;563.0;0.0;13.6;;75.0
2025-12-05;02:25;Guaymaral;8;12.5;1.0;282.0;563.0;0.1;12.9;0.0;80.0
2025-12-05;02:25;Kennedy;9;;1.7;268.0;;0.1;;0.0;84.5
2025-12-05;02:25;Suba;11;;0.9;251.0;;0.2;12.3;;
2025-12-05;02:25;Puente Aranda;13;;1.9;252.0;563.0;0.0;14.1;0.0;94.0
2025-12-05;02:25;MinAmbiente;17;;-9999.0;-9999.0;;1.3;;;
2025-12-05;02:25;San Cristobal;24;;0.8;105.0;;0.0;12.3;0.0;79.0
2025-12-05;02:25;Movil 7ma;26;;0.5;201.0;562.0;5.5;14.3;0.0;71.1
2025-12-05;02:25;Bolivia;27;;1.9;297.0;564.0;0.1;12.6;0.0;92.0
2025-12-05;02:25;Fontibon;30;;2.5;275.0;564.0;0.2;12.6;;89.0
2025-12-05;02:25;Usme;32;;;;562.0;0.0;14.1;0.0;
2025-12-05;02:25;Jazmin;34;;1.9;277.0;563.0;0.0;14.2;0.0;91.0
2025-12-05;02:25;Ciudad Bolivar;37;;;;557.0;0.0;12.7;0.0;
2025-12-05;02:25;Colina;38;;0.9;271.0;562.0;0.3;14.8;53.0;
2025-12-05;02:25;Movil Fontibon;39;;;;564.0;;13.2;0.0;
2025-12-05;03:33;Usaquen;1;;0.3;316.0;;3.5;12.1;;
2025-12-05;03:33;Carvajal - Sevillana;3;;0.4;337.0;;0.3;13.8;;
2025-12-05;03:33;Tunal;4;;0.6;218.0;562.0;0.1;;1.0;78.0
2025-12-05;03:33;Centro de Alto Rendimiento;5;;2.1;349.0;564.0;0.0;13.4;0.0;85.0
2025-12-05;03:33;Las Ferias;6;;1.9;240.0;563.0;0.0;13.2;;79.0
2025-12-05;03:33;Guaymaral;8;12.2;0.7;291.0;563.0;1.0;12.5;0.0;82.0
2025-12-05;03:33;Kennedy;9;;1.1;313.0;;0.3;;0.0;86.2
2025-12-05;03:33;Suba;11;;1.2;240.0;;0.7;12.0;;
2025-12-05;03:33;Puente Aranda;13;;1.5;277.0;563.0;0.0;13.9;0.0;97.0
2025-12-05;03:33;MinAmbiente;17;;-9999.0;-9999.0;;0.0;;;
2025-12-05;03:33;San Cristobal;24;;0.8;107.0;;0.4;12.0;0.0;82.0
2025-12-05;03:33;Movil 7ma;26;;0.5;141.0;561.0;0.1;13.4;0.0;75.7
2025-12-05;03:33;Bolivia;27;;1.4;295.0;564.0;0.2;12.3;0.0;94.0
2025-12-05;03:33;Fontibon;30;;1.4;289.0;564.0;0.0;12.5;;92.0
2025-12-05;03:33;Usme;32;;;;561.0;0.3;13.2;0.0;
2025-12-05;03:33;Jazmin;34;;1.0;296.0;563.0;0.1;13.9;0.0;94.0
2025-12-05;03:33;Ciudad Bolivar;37;;;;557.0;0.0;12.6;0.0;
2025-12-05;03:33;Colina;38;;0.9;271.0;562.0;0.3;14.8;53.0;
2025-12-05;03:33;Movil Fontibon;39;;;;564.0;;13.0;0.0;
2025-12-05;04:27;Usaquen;1;;0.9;348.0;;0.8;12.1;;
2025-12-05;04:27;Carvajal - Sevillana;3;;0.8;44.0;;0.6;13.4;;
2025-12-05;04:27;Tunal;4;;0.3;225.0;562.0;0.1;;1.0;81.0
2025-12-05;04:27;Centro de Alto Rendimiento;5;;2.2;352.0;564.0;0.1;13.3;0.0;86.0
2025-12-05;04:27;Las Ferias;6;;1.7;336.0;563.0;0.1;12.6;;80.0
2025-12-05;04:27;Guaymaral;8;12.1;0.8;343.0;563.0;0.9;12.4;0.0;83.0
2025-12-05;04:27;Kennedy;9;;0.9;332.0;;0.2;;0.0;87.1
2025-12-05;04:27;Suba;11;;0.5;308.0;;0.5;11.9;;
2025-12-05;04:27;Puente Aranda;13;;1.1;282.0;563.0;0.0;13.4;0.0;99.0
2025-12-05;04:27;MinAmbiente;17;;-9999.0;-9999.0;;0.0;;;
2025-12-05;04:27;San Cristobal;24;;1.3;106.0;;0.3;11.2;0.0;88.0
2025-12-05;04:27;Movil 7ma;26;;0.6;109.0;561.0;0.1;13.6;0.0;76.9
2025-12-05;04:27;Bolivia;27;;1.0;327.0;564.0;0.1;12.3;0.0;94.0
2025-12-05;04:27;Fontibon;30;;1.3;4.0;564.0;0.1;12.3;;92.0
2025-12-05;04:27;Usme;32;;;;561.0;0.0;12.8;0.0;
2025-12-05;04:27;Jazmin;34;;1.0;289.0;563.0;0.1;13.7;0.0;94.0
2025-12-05;04:27;Ciudad Bolivar;37;;;;557.0;0.8;12.5;0.0;
2025-12-05;04:27;Colina;38;;0.9;271.0;562.0;0.3;14.8;53.0;
2025-12-05;04:27;Movil Fontibon;39;;;;564.0;;12.9;0.0;
