Fecha;Hora;name;stationId;Temperatura;Dir Viento;Temperatura 8M;Presion Baro;Lluvia;Vel Viento;Rad Solar;Humedad
2025-12-07;00:22;Usaquen;1;11.0;140.0;;;0.0;1.1;;
2025-12-07;00:22;Carvajal - Sevillana;3;13.1;47.0;;;0.0;1.4;;
2025-12-07;00:22;Tunal;4;;238.0;;564.0;0.0;0.5;1.0;79.0
2025-12-07;00:22;Centro de Alto Rendimiento;5;10.6;316.0;;565.0;0.0;0.7;0.0;89.0
2025-12-07;00:22;Las Ferias;6;11.6;5.0;;564.0;0.0;0.6;;78.0
2025-12-07;00:22;Guaymaral;8;10.2;260.0;10.1;564.0;0.0;0.6;0.0;85.0
2025-12-07;00:22;Kennedy;9;;308.0;;;0.0;0.8;0.0;82.2
2025-12-07;00:22;Suba;11;10.4;36.0;;;0.0;0.9;;
2025-12-07;00:22;Puente Aranda;13;13.5;244.0;;564.0;0.0;0.9;0.0;91.0
2025-12-07;00:22;MinAmbiente;17;;-9999.0;;;0.0;-9999.0;;
2025-12-07;00:22;San Cristobal;24;10.4;111.0;;;0.0;1.6;0.0;84.0
2025-12-07;00:22;Movil 7ma;26;13.3;190.0;;562.0;0.0;0.4;0.0;68.8
2025-12-07;00:22;Bolivia;27;12.5;54.0;;565.0;0.0;1.4;0.0;84.0
2025-12-07;00:22;Fontibon;30;12.3;38.0;;565.0;0.0;0.7;;85.0
2025-12-07;00:22;Usme;32;11.0;;;563.0;0.0;;0.0;
2025-12-07;00:22;Jazmin;34;13.4;266.0;;564.0;0.0;0.6;0.0;90.0
2025-12-07;00:22;Ciudad Bolivar;37;12.5;;;558.0;0.0;;0.0;
2025-12-07;00:22;Colina;38;14.8;271.0;;562.0;0.3;0.9;53.0;
2025-12-07;00:22;Movil Fontibon;39;12.3;;;564.0;;;1.0;
2025-12-07;01:34;Usaquen;1;11.2;130.0;;;0.0;0.4;;
2025-12-07;01:34;Carvajal - Sevillana;3;12.8;249.0;;;0.0;0.8;;
2025-12-07;01:34;Tunal;4;;234.0;;563.0;0.0;0.5;1.0;80.0
2025-12-07;01:34;Centro de Alto Rendimiento;5;10.7;286.0;;565.0;0.0;0.9;0.0;90.0
2025-12-07;01:34;Las Ferias;6;11.8;234.0;;564.0;0.0;0.6;;78.0
2025-12-07;01:34;Guaymaral;8;10.1;323.0;9.9;564.0;0.1;0.5;0.0;85.0
2025-12-07;01:34;Kennedy;9;;318.0;;;0.0;0.6;0.0;83.9
2025-12-07;01:34;Suba;11;10.3;347.0;;;0.0;0.6;;
2025-12-07;01:34;Puente Aranda;13;13.5;241.0;;564.0;0.0;1.0;0.0;92.0
2025-12-07;01:34;MinAmbiente;17;;-9999.0;;;0.0;-9999.0;;
2025-12-07;01:34;San Cristobal;24;10.4;105.0;;;0.0;1.8;0.0;83.0
2025-12-07;01:34;Movil 7ma;26;13.5;272.0;;562.0;0.0;0.3;0.0;70.4
2025-12-07;01:34;Bolivia;27;12.0;351.0;;565.0;0.0;0.7;0.0;84.0
2025-12-07;01:34;Fontibon;30;12.4;359.0;;565.0;0.0;0.9;;82.0
2025-12-07;01:34;Usme;32;10.9;;;562.0;0.0;;0.0;
2025-12-07;01:34;Jazmin;34;13.2;263.0;;564.0;0.0;0.4;0.0;90.0
2025-12-07;01:34;Ciudad Bolivar;37;12.2;;;557.0;0.0;;0.0;
2025-12-07;01:34;Colina;38;14.8;271.0;;562.0;0.3;0.9;53.0;
2025-12-07;01:34;Movil Fontibon;39;12.3;;;564.0;;;1.0;
2025-12-07;02:22;Usaquen;1;11.5;6.0;;;0.0;0.8;;
2025-12-07;02:22;Carvajal - Sevillana;3;13.0;31.0;;;0.0;0.4;;
2025-12-07;02:22;Tunal;4;;217.0;;563.0;0.0;0.5;1.0;79.0
2025-12-07;02:22;Centro de Alto Rendimiento;5;11.1;342.0;;565.0;0.0;0.7;0.0;90.0
2025-12-07;02:22;Las Ferias;6;12.0;280.0;;564.0;0.0;0.4;;76.0
2025-12-07;02:22;Guaymaral;8;10.2;309.0;10.0;563.0;0.0;0.3;0.0;86.0
2025-12-07;02:22;Kennedy;9;;335.0;;;0.0;1.0;0.0;85.4
2025-12-07;02:22;Suba;11;10.0;290.0;;;0.0;0.3;;
2025-12-07;02:22;Puente Aranda;13;13.2;260.0;;563.0;0.0;1.2;0.0;89.0
2025-12-07;02:22;MinAmbiente;17;;-9999.0;;;0.0;-9999.0;;
2025-12-07;02:22;San Cristobal;24;10.5;109.0;;;0.0;1.4;0.0;82.0
2025-12-07;02:22;Movil 7ma;26;13.5;261.0;;562.0;0.0;0.3;0.0;69.8
2025-12-07;02:22;Bolivia;27;11.4;278.0;;565.0;0.0;0.7;0.0;90.0
2025-12-07;02:22;Fontibon;30;12.1;351.0;;564.0;0.0;1.0;;81.0
2025-12-07;02:22;Usme;32;10.9;;;562.0;0.0;;0.0;
2025-12-07;02:22;Jazmin;34;13.2;265.0;;564.0;0.0;0.7;0.0;86.0
2025-12-07;02:22;Ciudad Bolivar;37;12.2;;;557.0;0.0;;0.0;
2025-12-07;02:22;Colina;38;14.8;271.0;;562.0;0.3;0.9;53.0;
2025-12-07;02:22;Movil Fontibon;39;12.3;;;564.0;;;1.0;
2025-12-07;03:29;Usaquen;1;11.4;8.0;;;0.0;0.9;;
2025-12-07;03:29;Carvajal - Sevillana;3;12.3;292.0;;;0.0;0.3;;
2025-12-07;03:29;Tunal;4;;218.0;;563.0;0.0;0.6;1.0;78.0
2025-12-07;03:29;Centro de Alto Rendimiento;5;10.6;312.0;;564.0;0.0;0.6;0.0;90.0
2025-12-07;03:29;Las Ferias;6;11.5;253.0;;563.0;0.0;0.4;;76.0
2025-12-07;03:29;Guaymaral;8;9.8;274.0;9.6;563.0;0.0;0.4;0.0;85.0
2025-12-07;03:29;Kennedy;9;;343.0;;;0.0;0.6;0.0;83.3
2025-12-07;03:29;Suba;11;9.8;41.0;;;0.0;0.6;;
2025-12-07;03:29;Puente Aranda;13;13.0;257.0;;563.0;0.0;0.8;0.0;87.0
2025-12-07;03:29;MinAmbiente;17;;-9999.0;;;0.0;-9999.0;;
2025-12-07;03:29;San Cristobal;24;10.3;108.0;;;0.0;1.2;0.0;84.0
2025-12-07;03:29;Movil 7ma;26;13.4;41.0;;562.0;0.0;0.3;0.0;70.3
2025-12-07;03:29;Bolivia;27;11.4;334.0;;564.0;0.0;0.5;0.0;92.0
2025-12-07;03:29;Fontibon;30;11.7;5.0;;564.0;0.0;0.5;;85.0
2025-12-07;03:29;Usme;32;10.6;;;562.0;0.0;;0.0;
2025-12-07;03:29;Jazmin;34;12.7;270.0;;564.0;0.0;0.4;0.0;88.0
2025-12-07;03:29;Ciudad Bolivar;37;11.6;;;557.0;0.0;;0.0;
2025-12-07;03:29;Colina;38;14.8;271.0;;562.0;0.3;0.9;53.0;
