Fecha;Hora;name;stationId;Lluvia;Humedad;Temperatura;Dir Viento;Temperatura 8M;Presion Baro;Vel Viento;Rad Solar
2025-12-08;00:27;Usaquen;1;0;;11.7;149;;;0.7;
2025-12-08;00:27;Carvajal - Sevillana;3;0;;14.2;278;;;0.4;
2025-12-08;00:27;Tunal;4;0;73;;227;;564;0.4;1
2025-12-08;00:27;Centro de Alto Rendimiento;5;0;86;11.5;4;;565;1.4;0
2025-12-08;00:27;Las Ferias;6;0;71;12.9;340;;564;0.8;
2025-12-08;00:27;Guaymaral;8;0;78;11.3;352;11.2;564;0.4;0
2025-12-08;00:27;Kennedy;9;0;76.3;;340;;;0.8;0
2025-12-08;00:27;Suba;11;0;;11.5;9;;;0.9;
2025-12-08;00:27;Puente Aranda;13;0;75;14.7;202;;564;0.8;0
2025-12-08;00:27;MinAmbiente;17;0;;;-9999;;;-9999;
2025-12-08;00:27;San Cristobal;24;0;80;11.1;106;;;1.7;0
2025-12-08;00:27;Movil 7ma;26;0;60.7;14.2;207;;563;0.5;0
2025-12-08;00:27;Bolivia;27;0;85;12.5;357;;565;1;0
2025-12-08;00:27;Fontibon;30;0;75;13.2;344;;565;1.3;
2025-12-08;00:27;Usme;32;0;;12.7;;;563;;0
2025-12-08;00:27;Jazmin;34;0;74;14.5;172;;564;0.7;0
2025-12-08;00:27;Ciudad Bolivar;37;0;;13.1;;;558;;0
2025-12-08;00:27;Colina;38;0.3;;14.8;271;;562;0.9;53
2025-12-08;00:27;Movil Fontibon;39;;;12.3;;;564;;1
