Fecha;Hora;name;stationId;Vel Viento;Temperatura;Humedad;Temperatura 8M;Dir Viento;Presion Baro;Rad Solar;Lluvia
2025-12-09;00:25;Usaquen;1;0.8;11.8;;;145.0;;;0.0
2025-12-09;00:25;Carvajal - Sevillana;3;1.0;13.5;;;52.0;;;0.0
2025-12-09;00:25;Tunal;4;0.7;;77.0;;272.0;563.0;1.0;0.0
2025-12-09;00:25;Centro de Alto Rendimiento;5;1.0;11.3;89.0;;339.0;565.0;0.0;0.0
2025-12-09;00:25;Las Ferias;6;0.6;11.9;77.0;;33.0;564.0;;0.0
2025-12-09;00:25;Guaymaral;8;0.4;9.4;83.0;9.5;322.0;564.0;0.0;0.0
2025-12-09;00:25;Kennedy;9;0.5;;82.3;;296.0;;0.0;0.0
2025-12-09;00:25;Suba;11;0.5;10.3;;;1.0;;;0.0
2025-12-09;00:25;Puente Aranda;13;0.9;14.0;92.0;;239.0;563.0;0.0;0.0
2025-12-09;00:25;MinAmbiente;17;-9999.0;;;;-9999.0;;;0.0
2025-12-09;00:25;San Cristobal;24;0.1;12.3;81.0;;101.0;;0.0;0.0
2025-12-09;00:25;Movil 7ma;26;0.4;14.3;66.6;;298.0;562.0;0.0;0.0
2025-12-09;00:25;Bolivia;27;0.6;12.1;88.0;;341.0;565.0;0.0;0.0
2025-12-09;00:25;Fontibon;30;0.6;12.4;88.0;;227.0;564.0;;0.0
2025-12-09;00:25;Usme;32;;13.1;;;;562.0;0.0;0.0
2025-12-09;00:25;Jazmin;34;0.6;13.8;90.0;;280.0;564.0;0.0;0.0
2025-12-09;00:25;Ciudad Bolivar;37;;12.7;;;;557.0;0.0;0.0
2025-12-09;00:25;Colina;38;0.9;14.8;;;271.0;562.0;53.0;0.3
2025-12-09;00:25;Movil Fontibon;39;;12.3;;;;564.0;1.0;
2025-12-09;01:38;Usaquen;1;0.3;10.7;;;72;;;0
2025-12-09;01:38;Carvajal - Sevillana;3;0.3;13.1;;;269;;;0
2025-12-09;01:38;Tunal;4;0.5;;78;;219;563;1;0
2025-12-09;01:38;Centro de Alto Rendimiento;5;0.9;10.4;90;;331;564;0;0
2025-12-09;01:38;Las Ferias;6;0.8;11.5;79;;332;563;;0
2025-12-09;01:38;Guaymaral;8;0.5;8.8;84;9.1;338;563;0;0
2025-12-09;01:38;Kennedy;9;0.5;;84.4;;316;;0;0
2025-12-09;01:38;Suba;11;0.8;9.4;;;15;;;0
2025-12-09;01:38;Puente Aranda;13;1;13.7;93;;250;563;0;0
2025-12-09;01:38;MinAmbiente;17;-9999;;;;-9999;;;0
2025-12-09;01:38;San Cristobal;24;1.6;11.1;84;;111;;0;0
2025-12-09;01:38;Movil 7ma;26;0.6;13.4;68.2;;177;562;0;0
2025-12-09;01:38;Bolivia;27;1;11;91;;350;564;0;0
2025-12-09;01:38;Fontibon;30;1;12;89;;322;564;;0
2025-12-09;01:38;Usme;32;;12;;;;562;0;0
2025-12-09;01:38;Jazmin;34;0.5;13.2;90;;249;563;0;0
2025-12-09;01:38;Ciudad Bolivar;37;;11.9;;;;557;0;0
2025-12-09;01:38;Colina;38;0.9;14.8;;;271;562;53;0.3
2025-12-09;01:38;Movil Fontibon;39;;12.3;;;;564;1;
