Fecha;Hora;name;stationId;Lluvia;Rad Solar;Vel Viento;Temperatura 8M;Presion Baro;Dir Viento;Humedad;Temperatura
2025-12-10;00:26;Usaquen;1;0.0;;1.4;;;107.0;;12.2
2025-12-10;00:26;Carvajal - Sevillana;3;0.0;;0.8;;;242.0;;13.8
2025-12-10;00:26;Tunal;4;0.0;1.0;0.9;;563.0;149.0;81.0;
2025-12-10;00:26;Centro de Alto Rendimiento;5;0.0;0.0;0.6;;564.0;318.0;91.0;10.0
2025-12-10;00:26;Las Ferias;6;0.0;;0.8;;564.0;355.0;78.0;11.5
2025-12-10;00:26;Guaymaral;8;0.0;0.0;0.6;9.8;563.0;284.0;82.0;9.6
2025-12-10;00:26;Kennedy;9;0.0;0.0;0.8;;;4.0;81.4;
2025-12-10;00:26;Suba;11;0.0;;1.3;;;35.0;;10.4
2025-12-10;00:26;Puente Aranda;13;0.0;0.0;0.6;;563.0;260.0;86.0;14.0
2025-12-10;00:26;MinAmbiente;17;0.0;;-9999.0;;;-9999.0;;
2025-12-10;00:26;San Cristobal;24;0.0;0.0;1.4;;;93.0;77.0;10.4
2025-12-10;00:26;Movil 7ma;26;0.0;0.0;0.4;;562.0;179.0;60.6;13.5
2025-12-10;00:26;Bolivia;27;0.0;0.0;1.4;;564.0;70.0;85.0;12.4
2025-12-10;00:26;Fontibon;30;0.0;;1.5;;564.0;44.0;81.0;12.5
2025-12-10;00:26;Usme;32;0.0;0.0;;;562.0;;;12.8
2025-12-10;00:26;Jazmin;34;0.0;0.0;0.3;;564.0;219.0;83.0;13.1
2025-12-10;00:26;Ciudad Bolivar;37;0.0;0.0;;;557.0;;;13.0
2025-12-10;00:26;Colina;38;0.3;53.0;0.9;;562.0;271.0;;14.8
2025-12-10;00:26;Movil Fontibon;39;;1.0;;;564.0;;;12.3
2025-12-10;01:39;Usaquen;1;0.0;;1.1;;;126.0;;11.2
2025-12-10;01:39;Carvajal - Sevillana;3;0.0;;0.9;;;216.0;;13.3
2025-12-10;01:39;Tunal;4;0.0;1.0;0.7;;562.0;124.0;78.0;
2025-12-10;01:39;Centro de Alto Rendimiento;5;0.1;0.0;1.1;;564.0;56.0;91.0;9.5
2025-12-10;01:39;Las Ferias;6;0.0;;1.3;;563.0;351.0;78.0;11.1
2025-12-10;01:39;Guaymaral;8;0.0;0.0;0.6;9.1;563.0;306.0;83.0;8.9
2025-12-10;01:39;Kennedy;9;0.0;0.0;0.5;;;269.0;83.1;
2025-12-10;01:39;Suba;11;0.0;;1.4;;;16.0;;9.8
2025-12-10;01:39;Puente Aranda;13;0.0;0.0;0.8;;563.0;262.0;87.0;13.7
2025-12-10;01:39;MinAmbiente;17;0.0;;-9999.0;;;-9999.0;;
2025-12-10;01:39;San Cristobal;24;0.0;0.0;1.2;;;102.0;78.0;10.1
2025-12-10;01:39;Movil 7ma;26;0.0;0.0;0.7;;562.0;281.0;61.8;13.4
2025-12-10;01:39;Bolivia;27;0.0;0.0;1.6;;564.0;45.0;87.0;11.7
2025-12-10;01:39;Fontibon;30;0.0;;1.7;;564.0;34.0;83.0;12.1
2025-12-10;01:39;Usme;32;0.0;0.0;;;561.0;;;12.7
2025-12-10;01:39;Jazmin;34;0.0;0.0;0.6;;563.0;251.0;84.0;12.7
2025-12-10;01:39;Ciudad Bolivar;37;0.0;0.0;;;557.0;;;11.8
2025-12-10;01:39;Colina;38;0.3;53.0;0.9;;562.0;271.0;;14.8
2025-12-10;01:39;Movil Fontibon;39;;1.0;;;564.0;;;12.3
2025-12-10;02:26;Usaquen;1;0.0;;0.7;;;51.0;;11.0
2025-12-10;02:26;Carvajal - Sevillana;3;0.0;;1.0;;;36.0;;12.3
2025-12-10;02:26;Tunal;4;0.0;1.0;0.5;;562.0;258.0;79.0;
2025-12-10;02:26;Centro de Alto Rendimiento;5;0.0;0.0;0.5;;564.0;143.0;91.0;9.4
