Fecha;Hora;name;stationId;Humedad;Presion Baro;Dir Viento;Lluvia;Temperatura;Rad Solar;Vel Viento;Temperatura 8M
2025-12-13;00:25;Usaquen;1;;;113.0;0.0;11.5;;0.9;
2025-12-13;00:25;Carvajal - Sevillana;3;;;247.0;0.0;13.3;;2.0;
2025-12-13;00:25;Tunal;4;75.0;563.0;193.0;0.0;;0.0;0.8;
2025-12-13;00:25;Centro de Alto Rendimiento;5;86.0;565.0;332.0;0.0;8.7;0.0;0.2;
2025-12-13;00:25;Las Ferias;6;70.0;564.0;12.0;0.0;12.0;;0.3;
2025-12-13;00:25;Guaymaral;8;81.0;564.0;317.0;0.0;9.2;0.0;0.7;9.7
2025-12-13;00:25;Kennedy;9;74.1;;169.0;0.0;;0.0;0.5;
2025-12-13;00:25;Suba;11;;;20.0;0.0;10.1;;1.1;
2025-12-13;00:25;Puente Aranda;13;71.0;563.0;183.0;0.0;14.2;0.0;1.1;
2025-12-13;00:25;MinAmbiente;17;;;-9999.0;0.0;;;-9999.0;
2025-12-13;00:25;San Cristobal;24;76.0;;108.0;0.0;10.3;0.0;1.2;
2025-12-13;00:25;Movil 7ma;26;58.6;562.0;257.0;0.0;13.8;0.0;0.5;
2025-12-13;00:25;Bolivia;27;83.0;565.0;34.0;0.0;12.0;0.0;1.3;
2025-12-13;00:25;Fontibon;30;75.0;564.0;44.0;0.0;12.9;;0.9;
2025-12-13;00:25;Usme;32;;562.0;;0.0;11.7;0.0;;
2025-12-13;00:25;Jazmin;34;76.0;564.0;212.0;0.0;13.0;0.0;0.3;
2025-12-13;00:25;Ciudad Bolivar;37;;557.0;;0.0;12.7;0.0;;
2025-12-13;00:25;Colina;38;;562.0;271.0;0.3;14.8;53.0;0.9;
2025-12-13;00:25;Movil Fontibon;39;;564.0;;;13.6;0.0;;
2025-12-13;01:36;Usaquen;1;;;91.0;0.0;10.1;;0.3;
2025-12-13;01:36;Carvajal - Sevillana;3;;;256.0;0.0;12.5;;1.4;
2025-12-13;01:36;Tunal;4;79.0;563.0;177.0;0.0;;0.0;0.7;
2025-12-13;01:36;Centro de Alto Rendimiento;5;86.0;564.0;330.0;0.0;6.5;0.0;0.4;
2025-12-13;01:36;Las Ferias;6;74.0;563.0;356.0;0.0;11.2;;1.2;
2025-12-13;01:36;Guaymaral;8;83.0;563.0;311.0;0.0;8.6;0.0;0.7;9.1
2025-12-13;01:36;Kennedy;9;76.6;;343.0;0.0;;0.0;0.6;
2025-12-13;01:36;Suba;11;;;37.0;0.0;9.5;;1.5;
2025-12-13;01:36;Puente Aranda;13;77.0;563.0;238.0;0.0;13.7;0.0;0.9;
2025-12-13;01:36;MinAmbiente;17;;;-9999.0;0.0;;;-9999.0;
2025-12-13;01:36;San Cristobal;24;78.0;;97.0;0.0;9.7;0.0;2.0;
2025-12-13;01:36;Movil 7ma;26;59.8;562.0;185.0;0.0;13.0;0.0;0.5;
2025-12-13;01:36;Bolivia;27;86.0;564.0;47.0;0.0;11.7;0.0;1.8;
2025-12-13;01:36;Fontibon;30;80.0;564.0;35.0;0.0;12.0;;1.9;
2025-12-13;01:36;Usme;32;;562.0;;0.0;12.3;0.0;;
2025-12-13;01:36;Jazmin;34;75.0;563.0;170.0;0.0;12.9;0.0;0.7;
2025-12-13;01:36;Ciudad Bolivar;37;;557.0;;0.0;12.7;0.0;;
2025-12-13;01:36;Colina;38;;562.0;271.0;0.3;14.8;53.0;0.9;
2025-12-13;01:36;Movil Fontibon;39;;564.0;;;12.7;0.0;;
