Fecha;Hora;name;stationId;Presion Baro;Temperatura 8M;Rad Solar;Humedad;Temperatura;Lluvia;Dir Viento;Vel Viento
2025-12-14;00:24;Usaquen;1;;;;;10.9;0;116;0.6
2025-12-14;00:24;Carvajal - Sevillana;3;;;;;12.5;0;254;1.7
2025-12-14;00:24;Tunal;4;563;;0;73;;0;216;0.6
2025-12-14;00:24;Centro de Alto Rendimiento;5;565;;0;86;5.9;0;305;0
2025-12-14;00:24;Las Ferias;6;564;;;71;11.6;0;336;1
2025-12-14;00:24;Guaymaral;8;564;8.7;0;81;8;0;301;0.4
2025-12-14;00:24;Kennedy;9;;;0;75.9;;0;198;0.6
2025-12-14;00:24;Suba;11;;;;;9.6;0;50;1.2
2025-12-14;00:24;Puente Aranda;13;563;;0;72;13.5;0;216;1.4
2025-12-14;00:24;MinAmbiente;17;;;;;;0;-9999;-9999
2025-12-14;00:24;San Cristobal;24;;;0;72;9.8;0;108;2.1
2025-12-14;00:24;Movil 7ma;26;562;;0;57.7;13.3;0;170;0.7
2025-12-14;00:24;Bolivia;27;565;;0;82;12.3;0;63;1.7
2025-12-14;00:24;Fontibon;30;564;;;76;12.5;0;41;1.3
2025-12-14;00:24;Usme;32;562;;0;;11.2;0;;
2025-12-14;00:24;Jazmin;34;564;;0;70;13;0;228;0.4
2025-12-14;00:24;Ciudad Bolivar;37;557;;0;;11.8;0;;
2025-12-14;00:24;Colina;38;562;;53;;14.8;0.3;271;0.9
2025-12-14;00:24;Movil Fontibon;39;565;;0;;12.3;;;
