Fecha;Hora;name;stationId;Dir Viento;Lluvia;Vel Viento;Rad Solar;Humedad;Temperatura;Presion Baro;Temperatura 8M
2025-12-16;00:27;Usaquen;1;5;0;0.7;;;13;;
2025-12-16;00:27;Carvajal - Sevillana;3;245;0;1.7;;;13.7;;
2025-12-16;00:27;Tunal;4;219;0;0.5;0;70;;563;
2025-12-16;00:27;Centro de Alto Rendimiento;5;256;0;1.1;0;85;12.2;565;
2025-12-16;00:27;Las Ferias;6;244;0;1.3;;73;14.4;564;
2025-12-16;00:27;Guaymaral;8;335;0;0.7;0;78;13.2;564;13.2
2025-12-16;00:27;Kennedy;9;312;0;0.8;0;78.3;;;
2025-12-16;00:27;Suba;11;340;0;1;;;13.4;;
2025-12-16;00:27;Puente Aranda;13;200;0;0.9;0;76;14.4;564;
2025-12-16;00:27;MinAmbiente;17;-9999;0;-9999;;;;;
2025-12-16;00:27;San Cristobal;24;108;0;1.5;0;76;11.5;;
2025-12-16;00:27;Movil 7ma;26;250;0;0.3;0;65.5;14.9;562;
2025-12-16;00:27;Bolivia;27;318;0;0.8;0;83;14;565;
2025-12-16;00:27;Fontibon;30;329;0;0.8;;85;13.6;565;
2025-12-16;00:27;Usme;32;;0;;0;;11.7;562;
2025-12-16;00:27;Jazmin;34;224;0;0.4;0;72;13.8;564;
2025-12-16;00:27;Ciudad Bolivar;37;;0;;0;;12.6;558;
2025-12-16;00:27;Colina;38;271;0.3;0.9;53;;14.8;562;
2025-12-16;00:27;Movil Fontibon;39;;;;0;;14.3;565;
