Fecha;Hora;name;stationId;Temperatura;Rad Solar;Vel Viento;Temperatura 8M;Presion Baro;Lluvia;Dir Viento;Humedad
2025-12-20;23:01;Usaquen;1;13.4;;3.2;;;0;132;
2025-12-20;23:01;Carvajal - Sevillana;3;15.1;;2.4;;;0;257;
2025-12-20;23:01;Tunal;4;;0;0.6;;563;0;185;76
2025-12-20;23:01;Centro de Alto Rendimiento;5;11.8;0;0.8;;564;0;348;85
2025-12-20;23:01;Las Ferias;6;14;;1;;563;0;14;69
2025-12-20;23:01;Guaymaral;8;13.6;0;1.2;13.5;563;0;128;74
2025-12-20;23:01;Kennedy;9;;0;1;;;0;187;74.5
2025-12-20;23:01;Suba;11;13.9;;1.2;;;0;53;
2025-12-20;23:01;Puente Aranda;13;14.9;0;2;;563;0;204;77
2025-12-20;23:01;MinAmbiente;17;;;-9999;;;0;-9999;
2025-12-20;23:01;San Cristobal;24;12.3;0;2;;;0;110;74
2025-12-20;23:01;Movil 7ma;26;14.8;0;0.8;;562;0;245;61.5
2025-12-20;23:01;Bolivia;27;14.6;0;0.4;;564;0;293;85
2025-12-20;23:01;Fontibon;30;14.5;;2.5;;564;0;185;73
2025-12-20;23:01;Usme;32;13.6;0;;;562;0;;
2025-12-20;23:01;Jazmin;34;14.7;0;0.6;;564;0;208;75
2025-12-20;23:01;Ciudad Bolivar;37;13.8;0;;;557;0;;
2025-12-20;23:01;Colina;38;14.8;53;0.9;;562;0.3;271;
2025-12-20;23:01;Movil Fontibon;39;14.8;0;;;564;;;
