Fecha;Hora;name;stationId;Temperatura 8M;Lluvia;Vel Viento;Rad Solar;Humedad;Presion Baro;Dir Viento;Temperatura
2025-12-21;00:26;Usaquen;1;;0;2.9;;;;151;12.6
2025-12-21;00:26;Carvajal - Sevillana;3;;0;1.5;;;;236;14.3
2025-12-21;00:26;Tunal;4;;0;1.4;0;79;563;152;
2025-12-21;00:26;Centro de Alto Rendimiento;5;;0;0.7;0;88;564;17;10.4
2025-12-21;00:26;Las Ferias;6;;0;0.8;;71;563;19;13
2025-12-21;00:26;Guaymaral;8;13;0;0.9;0;76;563;222;13.1
2025-12-21;00:26;Kennedy;9;;0;0.7;0;78.5;;190;
2025-12-21;00:26;Suba;11;;0;1.2;;;;30;12.4
2025-12-21;00:26;Puente Aranda;13;;0;1.4;0;80;563;196;14.4
2025-12-21;00:26;MinAmbiente;17;;0;-9999;;;;-9999;
2025-12-21;00:26;San Cristobal;24;;0;1.5;0;76;;108;11.4
2025-12-21;00:26;Movil 7ma;26;;0;0.7;0;63.3;562;199;13.9
2025-12-21;00:26;Bolivia;27;;0;1.3;0;82;564;73;13.8
2025-12-21;00:26;Fontibon;30;;0;1.4;;72;564;161;14.2
2025-12-21;00:26;Usme;32;;0;;0;;562;;13.2
2025-12-21;00:26;Jazmin;34;;0;0.7;0;80;563;202;14.1
2025-12-21;00:26;Ciudad Bolivar;37;;0;;0;;557;;13.4
2025-12-21;00:26;Colina;38;;0.3;0.9;53;;562;271;14.8
2025-12-21;00:26;Movil Fontibon;39;;;;1;;564;;14.7
