Fecha;Hora;name;stationId;Temperatura;Dir Viento;Humedad;Presion Baro;Temperatura 8M;Lluvia;Rad Solar;Vel Viento
2025-12-22;00:29;Usaquen;1;11.2;131.0;;;;0.0;;0.5
2025-12-22;00:29;Carvajal - Sevillana;3;14.0;260.0;;;;0.0;;1.3
2025-12-22;00:29;Tunal;4;;187.0;64.0;563.0;;0.0;0.0;1.0
2025-12-22;00:29;Centro de Alto Rendimiento;5;10.6;316.0;89.0;564.0;;0.0;0.0;1.1
2025-12-22;00:29;Las Ferias;6;11.8;332.0;78.0;564.0;;0.0;;0.7
2025-12-22;00:29;Guaymaral;8;11.2;284.0;79.0;563.0;11.2;0.0;0.0;0.4
2025-12-22;00:29;Kennedy;9;;294.0;81.1;;;0.0;0.0;0.8
2025-12-22;00:29;Suba;11;11.0;27.0;;;;0.0;;0.6
2025-12-22;00:29;Puente Aranda;13;14.3;221.0;79.0;563.0;;0.0;0.0;1.1
2025-12-22;00:29;MinAmbiente;17;;-9999.0;;;;0.0;;-9999.0
2025-12-22;00:29;San Cristobal;24;10.4;107.0;73.0;;;0.0;0.0;2.0
2025-12-22;00:29;Movil 7ma;26;13.6;176.0;64.0;562.0;;0.0;0.0;0.4
2025-12-22;00:29;Bolivia;27;12.1;297.0;91.0;565.0;;0.0;0.0;0.5
2025-12-22;00:29;Fontibon;30;12.4;267.0;87.0;564.0;;0.0;;0.9
2025-12-22;00:29;Usme;32;12.1;;;562.0;;0.0;0.0;
2025-12-22;00:29;Jazmin;34;13.8;172.0;72.0;564.0;;0.0;0.0;0.7
2025-12-22;00:29;Ciudad Bolivar;37;13.0;;;557.0;;0.0;0.0;
2025-12-22;00:29;Colina;38;14.8;271.0;;562.0;;0.3;53.0;0.9
2025-12-22;00:29;Movil Fontibon;39;12.7;;;564.0;;;0.0;
2025-12-22;01:41;Usaquen;1;11.6;142.0;;;;0.0;;0.7
2025-12-22;01:41;Carvajal - Sevillana;3;13.8;243.0;;;;0.0;;1.4
2025-12-22;01:41;Tunal;4;;187.0;64.0;563.0;;0.0;0.0;1.0
2025-12-22;01:41;Centro de Alto Rendimiento;5;11.0;332.0;90.0;564.0;;0.0;0.0;1.0
2025-12-22;01:41;Las Ferias;6;12.4;263.0;79.0;563.0;;0.0;;0.5
2025-12-22;01:41;Guaymaral;8;10.7;324.0;82.0;563.0;10.6;0.0;0.0;0.4
