Fecha;Hora;name;stationId;Vel Viento;Temperatura 8M;Dir Viento;Lluvia;Humedad;Rad Solar;Temperatura;Presion Baro
2025-12-25;00:28;Usaquen;1;0.8;;265.0;0.0;;;13.8;
2025-12-25;00:28;Carvajal - Sevillana;3;2.4;;51.0;0.0;;;14.8;
2025-12-25;00:28;Tunal;4;1.0;;187.0;0.0;64.0;0.0;;563.0
2025-12-25;00:28;Centro de Alto Rendimiento;5;1.9;;317.0;0.0;85.0;0.0;13.1;565.0
2025-12-25;00:28;Las Ferias;6;1.6;;232.0;0.0;79.0;;13.3;564.0
2025-12-25;00:28;Guaymaral;8;0.7;12.1;276.0;0.0;80.0;0.0;12.1;564.0
2025-12-25;00:28;Kennedy;9;2.1;;337.0;0.0;83.4;0.0;;
2025-12-25;00:28;Suba;11;0.4;;320.0;0.0;;;11.8;
2025-12-25;00:28;Puente Aranda;13;1.4;;286.0;0.0;89.0;0.0;14.7;564.0
2025-12-25;00:28;MinAmbiente;17;-9999.0;;-9999.0;0.0;;;;
2025-12-25;00:28;San Cristobal;24;0.8;;311.0;0.0;82.0;0.0;13.0;
2025-12-25;00:28;Movil 7ma;26;0.7;;79.0;0.0;70.1;0.0;14.7;562.0
2025-12-25;00:28;Bolivia;27;1.1;;317.0;0.0;90.0;0.0;13.1;565.0
2025-12-25;00:28;Fontibon;30;1.9;;329.0;0.0;87.0;;13.4;564.0
2025-12-25;00:28;Usme;32;;;;0.0;;0.0;14.5;562.0
2025-12-25;00:28;Jazmin;34;1.7;;312.0;0.0;90.0;0.0;14.4;564.0
2025-12-25;00:28;Ciudad Bolivar;37;;;;0.0;;0.0;13.5;557.0
2025-12-25;00:28;Colina;38;0.9;;271.0;0.3;;53.0;14.8;562.0
2025-12-25;00:28;Movil Fontibon;39;;;;;;0.0;14.2;565.0
2025-12-25;01:39;Usaquen;1;0.7;;289.0;0.0;;;13.7;
2025-12-25;01:39;Carvajal - Sevillana;3;1.9;;53.0;0.0;;;14.3;
2025-12-25;01:39;Tunal;4;1.0;;187.0;0.0;64.0;0.0;;563.0
2025-12-25;01:39;Centro de Alto Rendimiento;5;1.5;;325.0;0.0;83.0;0.0;13.4;564.0
2025-12-25;01:39;Las Ferias;6;0.9;;277.0;0.0;77.0;;13.3;563.0
2025-12-25;01:39;Guaymaral;8;0.5;11.7;339.0;0.0;82.0;0.0;11.8;563.0
2025-12-25;01:39;Kennedy;9;1.8;;351.0;0.0;83.0;0.0;;
2025-12-25;01:39;Suba;11;0.4;;34.0;0.0;;;11.4;
2025-12-25;01:39;Puente Aranda;13;1.1;;300.0;0.0;90.0;0.0;14.6;563.0
2025-12-25;01:39;MinAmbiente;17;-9999.0;;-9999.0;0.0;;;;
2025-12-25;01:39;San Cristobal;24;0.7;;307.0;0.0;83.0;0.0;12.6;
2025-12-25;01:39;Movil 7ma;26;0.3;;70.0;0.0;71.1;0.0;14.4;562.0
2025-12-25;01:39;Bolivia;27;1.0;;326.0;0.0;89.0;0.0;12.9;564.0
2025-12-25;01:39;Fontibon;30;1.5;;348.0;0.0;88.0;;13.0;564.0
2025-12-25;01:39;Usme;32;;;;0.0;;0.0;14.1;562.0
2025-12-25;01:39;Jazmin;34;1.3;;312.0;0.0;90.0;0.0;14.1;564.0
2025-12-25;01:39;Ciudad Bolivar;37;;;;0.0;;0.0;13.1;557.0
2025-12-25;01:39;Colina;38;0.9;;271.0;0.3;;53.0;14.8;562.0
2025-12-25;01:39;Movil Fontibon;39;;;;;;0.0;13.9;564.0
2025-12-25;02:26;Usaquen;1;1.4;;2.0;0.0;;;13.3;
2025-12-25;02:26;Carvajal - Sevillana;3;2.2;;62.0;0.0;;;14.1;
2025-12-25;02:26;Tunal;4;1.0;;187.0;0.0;64.0;0.0;;563.0
2025-12-25;02:26;Centro de Alto Rendimiento;5;2.4;;320.0;0.0;83.0;0.0;13.2;564.0
2025-12-25;02:26;Las Ferias;6;1.1;;266.0;0.0;75.0;;13.5;563.0
2025-12-25;02:26;Guaymaral;8;0.6;11.8;305.0;0.0;82.0;0.0;11.9;563.0
2025-12-25;02:26;Kennedy;9;2.1;;348.0;0.0;83.8;0.0;;
2025-12-25;02:26;Suba;11;0.5;;342.0;0.0;;;11.4;
2025-12-25;02:26;Puente Aranda;13;1.3;;301.0;0.0;89.0;0.0;14.3;563.0
2025-12-25;02:26;MinAmbiente;17;-9999.0;;-9999.0;0.0;;;;
2025-12-25;02:26;San Cristobal;24;0.6;;301.0;0.0;84.0;0.0;12.4;
2025-12-25;02:26;Movil 7ma;26;0.4;;55.0;0.0;71.6;0.0;14.2;561.0
2025-12-25;02:26;Bolivia;27;1.3;;325.0;0.0;88.0;0.0;12.9;564.0
2025-12-25;02:26;Fontibon;30;2.4;;344.0;0.0;88.0;;12.7;564.0
2025-12-25;02:26;Usme;32;;;;0.0;;0.0;13.7;561.0
2025-12-25;02:26;Jazmin;34;1.6;;307.0;0.0;90.0;0.0;13.9;563.0
2025-12-25;02:26;Ciudad Bolivar;37;;;;0.0;;0.0;12.8;557.0
2025-12-25;02:26;Colina;38;0.9;;271.0;0.3;;53.0;14.8;562.0
2025-12-25;02:26;Movil Fontibon;39;;;;;;1.0;13.6;564.0
2025-12-25;03:34;Usaquen;1;1.2;;350.0;0.0;;;13.1;
2025-12-25;03:34;Carvajal - Sevillana;3;1.9;;52.0;0.0;;;13.8;
2025-12-25;03:34;Tunal;4;1.0;;187.0;0.0;64.0;0.0;;563.0
2025-12-25;03:34;Centro de Alto Rendimiento;5;1.7;;329.0;0.0;80.0;0.0;13.4;563.0
2025-12-25;03:34;Las Ferias;6;0.8;;307.0;0.0;73.0;;13.1;563.0
2025-12-25;03:34;Guaymaral;8;0.9;11.8;323.0;0.0;79.0;0.0;12.0;562.0
2025-12-25;03:34;Kennedy;9;1.6;;331.0;0.0;83.4;0.0;;
2025-12-25;03:34;Suba;11;0.4;;36.0;0.0;;;11.5;
2025-12-25;03:34;Puente Aranda;13;1.4;;279.0;0.0;90.0;0.0;14.0;562.0
