Fecha;Hora;name;stationId;Lluvia;Temperatura 8M;Humedad;Rad Solar;Vel Viento;Presion Baro;Dir Viento;Temperatura
2025-12-26;00:27;Usaquen;1;0;;;;0.8;;278;13.2
2025-12-26;00:27;Carvajal - Sevillana;3;0;;;;1.8;;51;13.7
2025-12-26;00:27;Tunal;4;0;;64;0;1;563;187;
2025-12-26;00:27;Centro de Alto Rendimiento;5;0;;79;0;2.8;565;316;13.1
2025-12-26;00:27;Las Ferias;6;0;;73;;2.6;564;237;13.1
2025-12-26;00:27;Guaymaral;8;0;12;78;0;0.5;563;280;12.1
2025-12-26;00:27;Kennedy;9;0;;81.3;0;1.3;;327;
2025-12-26;00:27;Suba;11;0;;;;0.6;;252;11.6
2025-12-26;00:27;Puente Aranda;13;0;;86;0;1.4;563;283;14
2025-12-26;00:27;MinAmbiente;17;0;;;;-9999;;-9999;
2025-12-26;00:27;San Cristobal;24;0;;82;0;1.1;;312;12.2
2025-12-26;00:27;Movil 7ma;26;0;;66.6;0;0.6;562;77;14.5
2025-12-26;00:27;Bolivia;27;0;;87;0;1;564;282;12.2
2025-12-26;00:27;Fontibon;30;0;;84;;1.3;564;299;12.4
2025-12-26;00:27;Usme;32;0;;;0;;562;;13.7
2025-12-26;00:27;Jazmin;34;0;;85;0;1.7;564;304;13.9
2025-12-26;00:27;Ciudad Bolivar;37;0;;;0;;557;;12.7
2025-12-26;00:27;Colina;38;0.3;;;53;0.9;562;271;14.8
2025-12-26;00:27;Movil Fontibon;39;;;;0;;564;;13.1
