Fecha;Hora;name;stationId;Dir Viento;Temperatura 8M;Lluvia;Temperatura;Humedad;Vel Viento;Presion Baro;Rad Solar
2025-12-29;00:33;Usaquen;1;129;;0;11.4;;1.8;;
2025-12-29;00:33;Carvajal - Sevillana;3;254;;0;12;;1.8;;
2025-12-29;00:33;Tunal;4;187;;0;;64;1;563;0
2025-12-29;00:33;Centro de Alto Rendimiento;5;312;;0;5.6;85;0;565;0
2025-12-29;00:33;Las Ferias;6;310;;0;11.1;75;0.4;564;
2025-12-29;00:33;Guaymaral;8;181;9;0;8.7;83;0.5;564;0
2025-12-29;00:33;Kennedy;9;191;;0;;67;0.9;;0
2025-12-29;00:33;Suba;11;20;;0;8.8;;0.4;;
2025-12-29;00:33;Puente Aranda;13;209;;0;13.5;69;1;564;0
2025-12-29;00:33;MinAmbiente;17;-9999;;0;;;-9999;;
2025-12-29;00:33;San Cristobal;24;111;;0;9.3;72;1.6;;0
2025-12-29;00:33;Movil 7ma;26;168;;0;12.5;61.4;0.9;563;0
2025-12-29;00:33;Bolivia;27;272;;0;10.3;85;0.7;565;0
2025-12-29;00:33;Fontibon;30;294;;0;11.7;78;1.7;565;
2025-12-29;00:33;Usme;32;;;0;10.9;;;563;0
2025-12-29;00:33;Jazmin;34;204;;0;12.8;72;0.4;565;0
2025-12-29;00:33;Ciudad Bolivar;37;;;0;11.7;;;558;0
2025-12-29;00:33;Colina;38;271;;0.3;14.8;;0.9;562;53
2025-12-29;00:33;Movil Fontibon;39;;;;12;;;565;0
