Fecha;Hora;name;stationId;Temperatura 8M;Lluvia;Humedad;Vel Viento;Rad Solar;Temperatura;Dir Viento;Presion Baro
2025-12-31;00:29;Usaquen;1;;0;;1.1;;11.8;20;
2025-12-31;00:29;Carvajal - Sevillana;3;;0;;1.6;;11.9;243;
2025-12-31;00:29;Tunal;4;;0;69;1.4;0;;159;564
2025-12-31;00:29;Centro de Alto Rendimiento;5;;0;72;2.1;0;13.1;99;566
2025-12-31;00:29;Las Ferias;6;;0;68;2.5;;12.9;35;565
2025-12-31;00:29;Guaymaral;8;11.5;0;80;0.9;0;11;95;565
2025-12-31;00:29;Kennedy;9;;0;72.8;0.7;0;;152;
2025-12-31;00:29;Suba;11;;0;;1.1;;10.1;24;
2025-12-31;00:29;Puente Aranda;13;;0;74;1.2;0;14.4;134;565
2025-12-31;00:29;MinAmbiente;17;;0;;-9999;;;-9999;
2025-12-31;00:29;San Cristobal;24;;0;73;0.2;0;11.7;32;
2025-12-31;00:29;Movil 7ma;26;;0;62.1;0.7;0;13.2;183;563
2025-12-31;00:29;Bolivia;27;;0;81;1.7;0;12.6;73;566
2025-12-31;00:29;Fontibon;30;;0;76;2.9;;12.8;60;566
2025-12-31;00:29;Usme;32;;0;;;0;13.7;;563
2025-12-31;00:29;Jazmin;34;;0;70;0.7;0;14.4;187;565
2025-12-31;00:29;Ciudad Bolivar;37;;0;;;0;13.1;;559
2025-12-31;00:29;Colina;38;;0;;1.8;93;16.5;169;563
2025-12-31;00:29;Movil Fontibon;39;;;;;0;13.8;;566
