Fecha;Hora;name;stationId;Vel Viento;Temperatura 8M;Lluvia;Humedad;Dir Viento;Rad Solar;Presion Baro;Temperatura
2026-01-02;00:30;Usaquen;1;3.5;;0;;111;;;12.4
2026-01-02;00:30;Carvajal - Sevillana;3;1.6;;0;;243;;;11.9
2026-01-02;00:30;Tunal;4;0.9;;0;71;182;0;564;
2026-01-02;00:30;Centro de Alto Rendimiento;5;1.3;;0;85;359;0;566;10
2026-01-02;00:30;Las Ferias;6;1.6;;0;67;11;;565;12.7
2026-01-02;00:30;Guaymaral;8;0.7;10.5;0;79;235;0;565;10.1
2026-01-02;00:30;Kennedy;9;0.7;;0;70.5;200;0;;
2026-01-02;00:30;Suba;11;1.2;;0;;39;;;10.8
2026-01-02;00:30;Puente Aranda;13;1.3;;0;72;204;0;564;14.6
2026-01-02;00:30;MinAmbiente;17;-9999;;0;;-9999;;;
2026-01-02;00:30;San Cristobal;24;1.3;;0;72;107;0;;11.3
2026-01-02;00:30;Movil 7ma;26;0.6;;0;58.4;173;0;563;13.7
2026-01-02;00:30;Bolivia;27;1.7;;0;82;54;0;566;12.6
2026-01-02;00:30;Fontibon;30;1.1;;0;74;359;;565;12.9
2026-01-02;00:30;Usme;32;;;0;;;0;563;13.1
2026-01-02;00:30;Jazmin;34;0.8;;0;69;188;0;565;14.4
2026-01-02;00:30;Ciudad Bolivar;37;;;0;;;0;558;13.4
2026-01-02;00:30;Colina;38;1.8;;0;;169;93;563;16.5
2026-01-02;00:30;Movil Fontibon;39;;;;;;0;566;14
