Fecha;Hora;name;stationId;Dir Viento;Presion Baro;Humedad;Rad Solar;Vel Viento;Temperatura 8M;Lluvia;Temperatura
2026-01-04;00:30;Usaquen;1;124;;;;1.7;;0;13.3
2026-01-04;00:30;Carvajal - Sevillana;3;243;;;;1.6;;0;11.9
2026-01-04;00:30;Tunal;4;199;564;69;0;0.6;;0;
2026-01-04;00:30;Centro de Alto Rendimiento;5;308;565;87;0;0.9;;0;12.5
2026-01-04;00:30;Las Ferias;6;346;565;76;;1.5;;0;13.2
2026-01-04;00:30;Guaymaral;8;346;564;85;0;1.3;11.9;0.1;12.3
2026-01-04;00:30;Kennedy;9;354;;81.9;0;1.3;;0;
2026-01-04;00:30;Suba;11;13;;;;1.7;;0;12.2
2026-01-04;00:30;Puente Aranda;13;310;564;94;0;0.8;;0;14.1
2026-01-04;00:30;MinAmbiente;17;-9999;;;;-9999;;0;
2026-01-04;00:30;San Cristobal;24;101;;68;0;1;;0;12.7
2026-01-04;00:30;Movil 7ma;26;179;563;67.7;0;0.5;;0;14.1
2026-01-04;00:30;Bolivia;27;41;566;90;0;1.7;;0;12.9
2026-01-04;00:30;Fontibon;30;23;565;89;;2.2;;0;12.8
2026-01-04;00:30;Usme;32;;563;;0;;;0;14.3
2026-01-04;00:30;Jazmin;34;311;565;87;0;0.9;;0;14.3
2026-01-04;00:30;Ciudad Bolivar;37;;558;;0;;;0;13.4
2026-01-04;00:30;Colina;38;169;563;;93;1.8;;0;16.5
2026-01-04;00:30;Movil Fontibon;39;;565;;0;;;;13.6
