Fecha;Hora;name;stationId;Temperatura 8M;Temperatura;Dir Viento;Humedad;Presion Baro;Lluvia;Rad Solar;Vel Viento
2026-01-07;00:30;Usaquen;1;;11.7;89;;;0;;0.8
2026-01-07;00:30;Carvajal - Sevillana;3;;11.9;243;;;0;;1.6
2026-01-07;00:30;Tunal;4;;;156;87;564;0.2;0;0.5
2026-01-07;00:30;Centro de Alto Rendimiento;5;;11.9;282;90;565;0;0;0.4
2026-01-07;00:30;Las Ferias;6;;11.9;19;84;564;0;;0.8
2026-01-07;00:30;Guaymaral;8;10.9;11.1;261;87;564;0;0;0.5
2026-01-07;00:30;Kennedy;9;;;39;94;;0;0;0.7
2026-01-07;00:30;Suba;11;;11.1;23;;;0;;0.8
2026-01-07;00:30;Puente Aranda;13;;13.3;21;96;564;0;1;0.8
2026-01-07;00:30;MinAmbiente;17;;;-9999;;;0;;-9999
2026-01-07;00:30;San Cristobal;24;;10.3;111;93;;0.8;0;1.2
2026-01-07;00:30;Movil 7ma;26;;12.6;268;77.3;563;0;0;0.2
2026-01-07;00:30;Bolivia;27;;12.1;50;94;565;0;0;1.4
2026-01-07;00:30;Fontibon;30;;12.2;46;91;565;0;;1.4
2026-01-07;00:30;Usme;32;;11.9;;;563;0;0;
2026-01-07;00:30;Jazmin;34;;13.2;347;97;564;0;0;0.6
2026-01-07;00:30;Ciudad Bolivar;37;;11.9;;;558;0.1;0;
2026-01-07;00:30;Colina;38;;16.5;169;;563;0;93;1.8
2026-01-07;00:30;Movil Fontibon;39;;12.9;;;565;;0;
