Fecha;Hora;name;stationId;Temperatura;Dir Viento;Presion Baro;Vel Viento;Lluvia;Rad Solar;Humedad;Temperatura 8M
2026-01-11;00:30;Usaquen;1;13.2;132.0;;2.4;0.0;;;
2026-01-11;00:30;Carvajal - Sevillana;3;11.9;243.0;;1.6;0.0;;;
2026-01-11;00:30;Tunal;4;;189.0;563.0;0.6;0.0;0.0;72.0;
2026-01-11;00:30;Centro de Alto Rendimiento;5;12.0;310.0;565.0;1.2;0.0;0.0;86.0;
2026-01-11;00:30;Las Ferias;6;13.5;221.0;564.0;1.4;0.0;;73.0;
2026-01-11;00:30;Guaymaral;8;12.9;186.0;564.0;0.6;0.0;0.0;75.0;12.9
2026-01-11;00:30;Kennedy;9;;286.0;;1.1;0.0;0.0;80.2;
2026-01-11;00:30;Suba;11;12.4;356.0;;0.4;0.0;;;
2026-01-11;00:30;Puente Aranda;13;14.5;255.0;564.0;1.3;0.0;0.0;87.0;
2026-01-11;00:30;MinAmbiente;17;;-9999.0;;-9999.0;0.0;;;
2026-01-11;00:30;San Cristobal;24;12.3;100.0;;1.2;0.0;0.0;74.0;
2026-01-11;00:30;Movil 7ma;26;14.4;122.0;562.0;0.2;0.0;0.0;67.2;
2026-01-11;00:30;Bolivia;27;13.7;293.0;565.0;0.6;0.0;0.0;83.0;
2026-01-11;00:30;Fontibon;30;13.5;263.0;564.0;1.8;0.0;;81.0;
2026-01-11;00:30;Usme;32;13.8;;562.0;;0.0;0.0;;
2026-01-11;00:30;Jazmin;34;14.7;257.0;564.0;1.1;0.0;0.0;78.0;
2026-01-11;00:30;Ciudad Bolivar;37;13.7;;557.0;;0.0;0.0;;
2026-01-11;00:30;Colina;38;16.5;169.0;563.0;1.8;0.0;93.0;;
2026-01-11;00:30;Movil Fontibon;39;14.0;;565.0;;;0.0;;
2026-01-11;01:38;Usaquen;1;12.8;119.0;;1.9;0.0;;;
2026-01-11;01:38;Carvajal - Sevillana;3;11.9;243.0;;1.6;0.0;;;
2026-01-11;01:38;Tunal;4;;179.0;563.0;0.8;0.0;0.0;76.0;
2026-01-11;01:38;Centro de Alto Rendimiento;5;10.9;205.0;565.0;0.6;0.0;0.0;88.0;
2026-01-11;01:38;Las Ferias;6;12.4;180.0;563.0;0.2;0.0;;77.0;
2026-01-11;01:38;Guaymaral;8;11.9;308.0;563.0;0.5;0.0;0.0;76.0;12.0
2026-01-11;01:38;Kennedy;9;;241.0;;0.8;0.0;0.0;78.2;
2026-01-11;01:38;Suba;11;11.7;12.0;;0.6;0.0;;;
2026-01-11;01:38;Puente Aranda;13;14.2;215.0;563.0;1.3;0.0;0.0;82.0;
2026-01-11;01:38;MinAmbiente;17;;-9999.0;;-9999.0;0.0;;;
2026-01-11;01:38;San Cristobal;24;11.1;103.0;;1.2;0.0;0.0;77.0;
2026-01-11;01:38;Movil 7ma;26;13.5;174.0;562.0;0.8;0.0;0.0;66.6;
2026-01-11;01:38;Bolivia;27;13.3;290.0;564.0;0.6;0.0;0.0;85.0;
2026-01-11;01:38;Fontibon;30;13.1;233.0;564.0;1.2;0.0;;83.0;
2026-01-11;01:38;Usme;32;13.0;;562.0;;0.0;0.0;;
2026-01-11;01:38;Jazmin;34;14.0;233.0;564.0;0.5;0.0;0.0;79.0;
2026-01-11;01:38;Ciudad Bolivar;37;12.9;;557.0;;0.0;0.0;;
2026-01-11;01:38;Colina;38;16.5;169.0;563.0;1.8;0.0;93.0;;
2026-01-11;01:38;Movil Fontibon;39;13.4;;564.0;;;0.0;;
2026-01-11;02:25;Usaquen;1;12.8;124.0;;0.7;0.0;;;
2026-01-11;02:25;Carvajal - Sevillana;3;11.9;243.0;;1.6;0.0;;;
2026-01-11;02:25;Tunal;4;;177.0;562.0;0.7;0.0;0.0;79.0;
2026-01-11;02:25;Centro de Alto Rendimiento;5;10.6;282.0;564.0;0.6;0.0;0.0;89.0;
2026-01-11;02:25;Las Ferias;6;12.8;339.0;563.0;1.4;0.0;;76.0;
2026-01-11;02:25;Guaymaral;8;11.7;7.0;563.0;0.6;0.0;0.0;81.0;11.7
2026-01-11;02:25;Kennedy;9;;237.0;;0.4;0.0;0.0;78.9;
2026-01-11;02:25;Suba;11;12.0;11.0;;1.4;0.0;;;
2026-01-11;02:25;Puente Aranda;13;13.8;189.0;563.0;1.3;0.0;0.0;81.0;
2026-01-11;02:25;MinAmbiente;17;;-9999.0;;-9999.0;0.0;;;
2026-01-11;02:25;San Cristobal;24;10.7;95.0;;0.7;0.0;0.0;80.0;
2026-01-11;02:25;Movil 7ma;26;13.1;172.0;561.0;0.7;0.0;0.0;65.9;
2026-01-11;02:25;Bolivia;27;12.9;4.0;564.0;1.3;0.0;0.0;88.0;
2026-01-11;02:25;Fontibon;30;12.8;358.0;564.0;1.1;0.0;;84.0;
2026-01-11;02:25;Usme;32;12.6;;561.0;;0.0;0.0;;
2026-01-11;02:25;Jazmin;34;13.5;199.0;563.0;0.4;0.0;0.0;80.0;
2026-01-11;02:25;Ciudad Bolivar;37;12.6;;557.0;;0.0;0.0;;
2026-01-11;02:25;Colina;38;16.5;169.0;563.0;1.8;0.0;93.0;;
2026-01-11;02:25;Movil Fontibon;39;13.5;;564.0;;;0.0;;
2026-01-11;03:32;Usaquen;1;12.9;144.0;;0.4;0.0;;;
2026-01-11;03:32;Carvajal - Sevillana;3;11.9;243.0;;1.6;0.0;;;
2026-01-11;03:32;Tunal;4;;184.0;562.0;0.8;0.0;0.0;79.0;
2026-01-11;03:32;Centro de Alto Rendimiento;5;11.7;336.0;564.0;0.5;0.0;0.0;89.0;
2026-01-11;03:32;Las Ferias;6;13.2;9.0;563.0;1.1;0.0;;71.0;
2026-01-11;03:32;Guaymaral;8;11.7;299.0;563.0;0.5;0.0;0.0;82.0;11.6
2026-01-11;03:32;Kennedy;9;;170.0;;0.6;0.0;0.0;81.1;
2026-01-11;03:32;Suba;11;11.9;23.0;;0.8;0.0;;;
2026-01-11;03:32;Puente Aranda;13;13.9;180.0;562.0;0.7;0.0;0.0;82.0;
2026-01-11;03:32;MinAmbiente;17;;-9999.0;;-9999.0;0.0;;;
2026-01-11;03:32;San Cristobal;24;11.4;110.0;;0.8;0.0;0.0;78.0;
2026-01-11;03:32;Movil 7ma;26;13.7;239.0;561.0;0.2;0.0;0.0;66.2;
2026-01-11;03:32;Bolivia;27;12.9;52.0;564.0;1.3;0.0;0.0;87.0;
2026-01-11;03:32;Fontibon;30;12.7;16.0;563.0;0.5;0.0;;84.0;
2026-01-11;03:32;Usme;32;12.0;;561.0;;0.0;0.0;;
2026-01-11;03:32;Jazmin;34;13.1;234.0;563.0;0.3;0.0;0.0;82.0;
