Fecha;Hora;name;stationId;Vel Viento;Dir Viento;Rad Solar;Temperatura;Lluvia;Temperatura 8M;Presion Baro;Humedad
2026-01-13;00:30;Usaquen;1;1.4;98.0;;13.6;0.0;;;
2026-01-13;00:30;Carvajal - Sevillana;3;1.6;243.0;;11.9;0.0;;;
2026-01-13;00:30;Tunal;4;0.7;190.0;0.0;;0.0;;563.0;71.0
2026-01-13;00:30;Centro de Alto Rendimiento;5;2.2;327.0;0.0;13.8;0.0;;565.0;81.0
2026-01-13;00:30;Las Ferias;6;1.1;292.0;;13.8;0.0;;564.0;76.0
2026-01-13;00:30;Guaymaral;8;0.8;81.0;0.0;13.2;0.0;13.1;564.0;75.0
2026-01-13;00:30;Kennedy;9;1.6;307.0;0.0;;0.0;;;81.7
2026-01-13;00:30;Suba;11;0.9;19.0;;12.7;0.0;;;
2026-01-13;00:30;Puente Aranda;13;1.3;292.0;0.0;14.1;0.0;;564.0;91.0
2026-01-13;00:30;MinAmbiente;17;-9999.0;-9999.0;;;0.0;;;
2026-01-13;00:30;San Cristobal;24;1.3;62.0;0.0;13.1;0.0;;;70.0
2026-01-13;00:30;Movil 7ma;26;0.4;74.0;0.0;14.6;0.0;;563.0;68.8
2026-01-13;00:30;Bolivia;27;0.9;326.0;0.0;13.4;0.0;;565.0;90.0
2026-01-13;00:30;Fontibon;30;1.2;261.0;;13.2;0.0;;565.0;87.0
2026-01-13;00:30;Usme;32;;;0.0;14.1;0.0;;562.0;
2026-01-13;00:30;Jazmin;34;1.6;318.0;0.0;14.3;0.0;;564.0;86.0
2026-01-13;00:30;Ciudad Bolivar;37;;;0.0;13.5;0.0;;558.0;
2026-01-13;00:30;Colina;38;1.8;169.0;93.0;16.5;0.0;;563.0;
2026-01-13;00:30;Movil Fontibon;39;;;1.0;13.5;;;565.0;
2026-01-13;01:41;Usaquen;1;1.8;114.0;;13.4;0.0;;;
2026-01-13;01:41;Carvajal - Sevillana;3;1.6;243.0;;11.9;0.0;;;
2026-01-13;01:41;Tunal;4;0.9;272.0;0.0;;0.0;;563.0;72.0
2026-01-13;01:41;Centro de Alto Rendimiento;5;2.5;312.0;0.0;13.6;0.0;;565.0;80.0
2026-01-13;01:41;Las Ferias;6;1.9;236.0;;13.7;0.0;;564.0;76.0
2026-01-13;01:41;Guaymaral;8;0.5;335.0;0.0;13.2;0.0;13.0;564.0;73.0
2026-01-13;01:41;Kennedy;9;1.6;304.0;0.0;;0.0;;;82.4
2026-01-13;01:41;Suba;11;1.0;328.0;;12.5;0.0;;;
2026-01-13;01:41;Puente Aranda;13;1.5;283.0;0.0;13.8;0.0;;564.0;91.0
2026-01-13;01:41;MinAmbiente;17;-9999.0;-9999.0;;;0.0;;;
2026-01-13;01:41;San Cristobal;24;1.2;2.0;0.0;12.6;0.0;;;81.0
2026-01-13;01:41;Movil 7ma;26;0.1;119.0;0.0;14.3;0.0;;562.0;69.9
2026-01-13;01:41;Bolivia;27;1.0;334.0;0.0;13.3;0.0;;565.0;87.0
2026-01-13;01:41;Fontibon;30;1.8;248.0;;12.9;0.0;;564.0;86.0
2026-01-13;01:41;Usme;32;;;0.0;13.9;0.0;;562.0;
2026-01-13;01:41;Jazmin;34;1.7;319.0;0.0;13.8;0.0;;564.0;88.0
2026-01-13;01:41;Ciudad Bolivar;37;;;0.0;12.8;0.0;;557.0;
2026-01-13;01:41;Colina;38;1.8;169.0;93.0;16.5;0.0;;563.0;
2026-01-13;01:41;Movil Fontibon;39;;;1.0;13.2;;;565.0;
2026-01-13;02:29;Usaquen;1;0.9;139.0;;13.2;0.0;;;
2026-01-13;02:29;Carvajal - Sevillana;3;1.6;243.0;;11.9;0.0;;;
2026-01-13;02:29;Tunal;4;1.2;313.0;0.0;;0.0;;563.0;78.0
2026-01-13;02:29;Centro de Alto Rendimiento;5;2.1;295.0;0.0;13.3;0.0;;564.0;80.0
2026-01-13;02:29;Las Ferias;6;2.0;240.0;;13.3;0.0;;563.0;74.0
2026-01-13;02:29;Guaymaral;8;0.7;323.0;0.0;12.7;0.0;12.4;563.0;76.0
2026-01-13;02:29;Kennedy;9;1.4;297.0;0.0;;0.0;;;83.4
2026-01-13;02:29;Suba;11;0.8;349.0;;12.3;0.0;;;
2026-01-13;02:29;Puente Aranda;13;1.6;262.0;0.0;13.3;0.0;;563.0;92.0
2026-01-13;02:29;MinAmbiente;17;-9999.0;-9999.0;;;0.0;;;
2026-01-13;02:29;San Cristobal;24;0.8;350.0;0.0;12.1;0.0;;;83.0
2026-01-13;02:29;Movil 7ma;26;0.4;316.0;0.0;13.8;0.0;;562.0;70.0
2026-01-13;02:29;Bolivia;27;1.2;313.0;0.0;12.9;0.0;;564.0;90.0
2026-01-13;02:29;Fontibon;30;1.8;258.0;;12.7;0.0;;564.0;86.0
2026-01-13;02:29;Usme;32;;;0.0;13.7;0.0;;562.0;
2026-01-13;02:29;Jazmin;34;1.4;309.0;0.0;13.4;0.0;;564.0;90.0
2026-01-13;02:29;Ciudad Bolivar;37;;;0.0;12.4;0.0;;557.0;
2026-01-13;02:29;Colina;38;1.8;169.0;93.0;16.5;0.0;;563.0;
2026-01-13;02:29;Movil Fontibon;39;;;1.0;13.0;;;564.0;
2026-01-13;03:37;Usaquen;1;1.3;131.0;;12.9;0.0;;;
2026-01-13;03:37;Carvajal - Sevillana;3;1.6;243.0;;11.9;0.0;;;
2026-01-13;03:37;Tunal;4;1.2;311.0;0.0;;0.0;;562.0;79.0
2026-01-13;03:37;Centro de Alto Rendimiento;5;1.5;338.0;0.0;13.0;0.0;;564.0;81.0
2026-01-13;03:37;Las Ferias;6;1.0;256.0;;12.9;0.0;;563.0;76.0
2026-01-13;03:37;Guaymaral;8;0.7;257.0;0.0;12.6;0.0;12.5;563.0;76.0
2026-01-13;03:37;Kennedy;9;1.1;328.0;0.0;;0.0;;;83.3
2026-01-13;03:37;Suba;11;0.4;313.0;;12.1;0.0;;;
2026-01-13;03:37;Puente Aranda;13;0.9;261.0;0.0;13.4;0.0;;563.0;91.0
2026-01-13;03:37;MinAmbiente;17;-9999.0;-9999.0;;;0.0;;;
