Fecha;Hora;name;stationId;Lluvia;Rad Solar;Presion Baro;Dir Viento;Humedad;Vel Viento;Temperatura 8M;Temperatura
2026-01-14;00:30;Usaquen;1;0;;;268;;0.9;;13.8
2026-01-14;00:30;Carvajal - Sevillana;3;0;;;243;;1.6;;11.9
2026-01-14;00:30;Tunal;4;0;0;563;186;71;0.8;;
2026-01-14;00:30;Centro de Alto Rendimiento;5;0;0;564;168;76;0.9;;14
2026-01-14;00:30;Las Ferias;6;0;;564;45;68;2;;14.1
2026-01-14;00:30;Guaymaral;8;0;0;564;158;73;1.3;13.4;13.5
2026-01-14;00:30;Kennedy;9;0;0;;13;86.5;0.5;;
2026-01-14;00:30;Suba;11;0;;;5;;1.6;;12.6
2026-01-14;00:30;Puente Aranda;13;0;0;563;252;90;1;;14.9
2026-01-14;00:30;MinAmbiente;17;0;;;-9999;;-9999;;
2026-01-14;00:30;San Cristobal;24;0;0;;46;74;0.2;;13.2
2026-01-14;00:30;Movil 7ma;26;0;0;562;315;59.6;1.1;;15.2
2026-01-14;00:30;Bolivia;27;0;0;565;55;86;1.7;;13.4
2026-01-14;00:30;Fontibon;30;0;;564;42;87;1.4;;13.6
2026-01-14;00:30;Usme;32;0;0;562;;;;;14.6
2026-01-14;00:30;Jazmin;34;0;0;564;288;88;1;;14.9
2026-01-14;00:30;Ciudad Bolivar;37;0;0;557;;;;;14.2
2026-01-14;00:30;Colina;38;0;93;563;169;;1.8;;16.5
2026-01-14;00:30;Movil Fontibon;39;;1;564;;;;;14.3
