Fecha;Hora;name;stationId;Temperatura 8M;Vel Viento;Lluvia;Presion Baro;Dir Viento;Humedad;Rad Solar;Temperatura
2026-01-15;00:30;Usaquen;1;;0.6;0;;56;;;13.1
2026-01-15;00:30;Carvajal - Sevillana;3;;1.6;0;;243;;;11.9
2026-01-15;00:30;Tunal;4;;1;0;563;197;75;0;
2026-01-15;00:30;Centro de Alto Rendimiento;5;;2.4;0;565;142;67;0;14.2
2026-01-15;00:30;Las Ferias;6;;2.6;0;564;47;64;;14
2026-01-15;00:30;Guaymaral;8;11.8;0.8;0;564;95;75;0;11.9
2026-01-15;00:30;Kennedy;9;;0.9;0;;193;77;0;
2026-01-15;00:30;Suba;11;;1.8;0;;57;;;12.6
2026-01-15;00:30;Puente Aranda;13;;1;0;564;206;74;0;14.8
2026-01-15;00:30;MinAmbiente;17;;-9999;0;;-9999;;;
2026-01-15;00:30;San Cristobal;24;;1.5;0;;148;68;0;13
2026-01-15;00:30;Movil 7ma;26;;1;0;562;141;59.7;0;14.5
2026-01-15;00:30;Bolivia;27;;1.6;0;565;90;78;0;13.7
2026-01-15;00:30;Fontibon;30;;2.5;0;564;58;76;;13.4
2026-01-15;00:30;Usme;32;;;0;562;;;0;13.9
2026-01-15;00:30;Jazmin;34;;0.8;0;564;263;78;0;14.3
2026-01-15;00:30;Ciudad Bolivar;37;;;0;557;;;0;13.5
2026-01-15;00:30;Colina;38;;1.8;0;563;169;;93;16.5
2026-01-15;00:30;Movil Fontibon;39;;;;565;;;0;14.2
