Fecha;Hora;name;stationId;Temperatura;Vel Viento;Lluvia;Dir Viento;Rad Solar;Presion Baro;Temperatura 8M;Humedad
2026-01-18;00:28;Usaquen;1;13.6;0.6;0.0;206.0;;;;
2026-01-18;00:28;Carvajal - Sevillana;3;11.9;1.6;0.0;243.0;;;;
2026-01-18;00:28;Tunal;4;;0.7;0.0;193.0;0.0;563.0;;74.0
2026-01-18;00:28;Centro de Alto Rendimiento;5;13.8;1.9;0.0;137.0;0.0;565.0;;67.0
2026-01-18;00:28;Las Ferias;6;14.7;2.0;0.0;50.0;;564.0;;60.0
2026-01-18;00:28;Guaymaral;8;12.6;0.9;0.0;279.0;0.0;564.0;12.7;78.0
2026-01-18;00:28;Kennedy;9;;0.8;0.0;187.0;0.0;;;74.3
2026-01-18;00:28;Suba;11;11.7;0.9;0.0;12.0;;;;
2026-01-18;00:28;Puente Aranda;13;15.3;1.2;0.0;200.0;0.0;564.0;;71.0
2026-01-18;00:28;MinAmbiente;17;;-9999.0;0.0;-9999.0;;;;
2026-01-18;00:28;San Cristobal;24;12.5;0.3;0.0;113.0;0.0;;;72.0
2026-01-18;00:28;Movil 7ma;26;15.0;0.3;0.0;233.0;0.0;562.0;;56.6
2026-01-18;00:28;Bolivia;27;13.9;1.6;0.0;56.0;0.0;565.0;;80.0
2026-01-18;00:28;Fontibon;30;14.1;1.0;0.0;280.0;;564.0;;71.0
2026-01-18;00:28;Usme;32;14.2;;0.0;;0.0;562.0;;
2026-01-18;00:28;Jazmin;34;15.0;0.7;0.0;200.0;0.0;564.0;;70.0
2026-01-18;00:28;Ciudad Bolivar;37;13.6;;0.0;;0.0;557.0;;
2026-01-18;00:28;Colina;38;16.5;1.8;0.0;169.0;93.0;563.0;;
2026-01-18;00:28;Movil Fontibon;39;14.3;;;;0.0;565.0;;
2026-01-18;01:38;Usaquen;1;13.6;0.9;0;95;;;;
2026-01-18;01:38;Carvajal - Sevillana;3;11.9;1.6;0;243;;;;
2026-01-18;01:38;Tunal;4;;0.8;0;179;0;563;;72
2026-01-18;01:38;Centro de Alto Rendimiento;5;13.3;0.5;0;187;0;564;;71
2026-01-18;01:38;Las Ferias;6;14.5;1.9;0;33;;563;;64
2026-01-18;01:38;Guaymaral;8;13.1;0.6;0;292;0;563;12.9;75
2026-01-18;01:38;Kennedy;9;;0.6;0;185;0;;;74
2026-01-18;01:38;Suba;11;12;1.5;0;12;;;;
2026-01-18;01:38;Puente Aranda;13;15;1.2;0;216;0;563;;75
2026-01-18;01:38;MinAmbiente;17;;-9999;0;-9999;;;;
2026-01-18;01:38;San Cristobal;24;12.3;0.2;0;113;0;;;74
2026-01-18;01:38;Movil 7ma;26;15;0.6;0;221;0;562;;57.7
2026-01-18;01:38;Bolivia;27;13.9;1.8;0;51;0;564;;80
2026-01-18;01:38;Fontibon;30;14.1;0.6;0;298;;564;;73
2026-01-18;01:38;Usme;32;13.7;;0;;0;562;;
2026-01-18;01:38;Jazmin;34;15;0.6;0;223;0;564;;72
2026-01-18;01:38;Ciudad Bolivar;37;13.8;;0;;0;557;;
2026-01-18;01:38;Colina;38;16.5;1.8;0;169;93;563;;
2026-01-18;01:38;Movil Fontibon;39;14.5;;;;1;564;;
