Fecha;Hora;name;stationId;Humedad;Lluvia;Vel Viento;Presion Baro;Temperatura;Temperatura 8M;Dir Viento;Rad Solar
2026-01-20;00:33;Usaquen;1;;0;1.7;;12.9;;120;
2026-01-20;00:33;Carvajal - Sevillana;3;;0;1.6;;11.9;;243;
2026-01-20;00:33;Tunal;4;71;0;0.9;563;;;190;0
2026-01-20;00:33;Centro de Alto Rendimiento;5;87;0;0.4;565;9.5;;313;0
2026-01-20;00:33;Las Ferias;6;72;0;0.2;564;12.8;;280;
2026-01-20;00:33;Guaymaral;8;81;0;0.6;564;11.1;11.2;281;0
2026-01-20;00:33;Kennedy;9;76.1;0;0.7;;;;11;0
2026-01-20;00:33;Suba;11;;0;0.4;;10.7;;15;
2026-01-20;00:33;Puente Aranda;13;74;0;1.3;564;14.7;;215;0
2026-01-20;00:33;MinAmbiente;17;;0;-9999;;;;-9999;
2026-01-20;00:33;San Cristobal;24;75;0;2.1;;11.3;;104;0
2026-01-20;00:33;Movil 7ma;26;61.8;0;0.8;562;14.5;;209;0
2026-01-20;00:33;Bolivia;27;85;0;0.4;565;12.5;;285;0
2026-01-20;00:33;Fontibon;30;79;0;0.8;564;12.8;;286;
2026-01-20;00:33;Usme;32;;0;;562;13.1;;;0
2026-01-20;00:33;Jazmin;34;73;0;0.4;564;14.5;;222;0
2026-01-20;00:33;Ciudad Bolivar;37;;0;;557;13;;;0
2026-01-20;00:33;Colina;38;;0;1.8;563;16.5;;169;93
2026-01-20;00:33;Movil Fontibon;39;;;;565;12.7;;;0
